DepartementPrincipal,Règlements de compte entre malfaireurs,Homicides pour voler et à l'occasion de vols,Homicides pour d'autres motifs,Tentatives d'homicides pour voler et à l'occasion de vols,Tentatives homicides pour d'autres motifs,Coups et blessures volontaires suivis de mort,Autres coups et blessures volontaires criminels ou correctionnels,Prises d'otages à l'occasion de vols,Prises d'otages dans un autre but,Sequestrations,Menaces ou chantages pour extorsion de fonds,Menaces ou chantages dans un autre but,Atteintes à la dignité et à la  personnalité,Violations de domicile,Vols à main armée contre des établissements financiers,Vols à main armée contre des éts industriels ou commerciaux,Vols à main armée contre des entreprises de transports de fonds,Vols à main armée contre des particuliers à leur domicile,Autres vols à main armée,"Vols avec armes blanches contre des établissements financiers,commerciaux ou industriels",Vols avec armes blanches contre des particuliers à leur domicile,Autres vols avec armes blanches,"Vols violents sans arme contre des établissements financiers,commerciaux ou industriels",Vols violents sans arme contre des particuliers à leur domicile,Vols violents sans arme contre des femmes sur voie publique ou autre lieu public,Vols violents sans arme contre d'autres victimes,Cambriolages de locaux d'habitations principales,Cambriolages de résidences secondaires,"Camb.de  locaux industriels, commerciaux ou financiers",Cambriolages d'autres lieux,Vols avec entrée par ruse en tous lieux,Vols à la tire,Vols à l'étalage,Vols de véhicules de transport avec frêt,Vols d'automobiles,Vols de véhicules motorisés à 2 roues,Vols à la roulotte,Vols d''accessoires sur véhicules à moteur immatriculés,Vols simples sur chantier,Vols simples sur exploitations agricoles,Autres vols simples contre des établissements publics ou privés,Autres vols simples contre des particuliers dans  deslocaux privés,Autres vols simples contre des particuliers dans des locaux ou lieux publics,Recels,Proxénétisme,Viols sur des majeur(e)s,Viols sur des mineur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des majeur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des mineur(e)s,Atteintes sexuelles,Homicides commis contre enfants de moins de 15 ans,"Violences, mauvais traitements et abandons d'enfants.",Délits au sujet de la garde des mineurs,Non versement de pension alimentaire,Trafic et revente sans usage de stupéfiants,Usage-revente de stupéfiants,Usage de stupéfiants,Autres infractions à la législation sur les stupéfiants,Délits de débits de boissons et infraction à la règlementation sur l'alcool  et le tabac,Fraudes alimentaires et infractions à l'hygiène,Autres délits contre santé publique et la réglementation des professions médicales,Incendies volontaires de biens publics,Incendies volontaires de biens privés,Attentats à l'explosif contre des biens publics,Attentats à l'explosif contre des biens privés,Autres destructions er dégradations de biens publics,Autres destructions er dégradations de biens privés,Destructions et dégradations de véhicules privés,Infractions aux conditions générales d'entrée et de séjour des étrangers,"Aide à l'entrée, à la circulation et au séjour des étrangers",Autres infractions à la police des étrangers,Outrages à dépositaires autorité,Violences à dépositaires autorité,Port ou détention armes prohibées,Atteintes aux intérêts fondamentaux de la Nation,Délits des courses et des jeux,Délits interdiction de séjour et de paraître,"Destructions, cruautés et autres délits envers les animaux",Atteintes à l'environnement,Chasse et pêche,Faux documents d'identité,Faux documents concernant la circulation des véhicules,Autres faux documents administratifs,Faux en écriture publique et authentique,Autres faux en écriture,Fausse monnaie,Contrefaçons et fraudes industrielles et commerciales,Contrefaçons littéraires et artistique,Falsification et usages de chèques volés,Falsification et usages de cartes de crédit,Escroqueries et abus de confiance,Infractions à la législation sur les chèques,Travail clandestin,Emploi d'étranger sans titre de travail,Marchandage - prêt de main d'oeuvre,"Banqueroutes, abus de biens sociaux et autres délits de société","Prix illicittes, publicité fausse et infractions aux règles de la concurrence",Achats et ventes sans factures,Infractions à l'exercice d'une profession règlementée,Infractions au droit de l'urbanisme et de la construction,Fraudes fiscales,Autres délits économiques et financiers,Autres délits,Année,Departement
01,0,0,0,0,0,0,355,1,0,8,24,172,93,11,0,2,0,1,0,0,0,1,1,1,20,47,211,7,132,120,13,131,148,0,116,35,256,137,11,1,75,383,274,135,1,6,4,21,19,0,0,77,31,30,8,50,412,1,5,1,0,13,53,0,0,45,213,110,97,123,7,117,92,49,0,0,4,5,3,0,74,20,12,4,16,3,4,0,91,82,350,7,36,39,0,0,1,0,2,1,0,2,275,2015,01
02,0,0,3,2,3,0,986,0,0,21,32,385,193,54,0,9,0,2,0,0,1,10,3,6,75,86,630,29,139,206,45,227,298,0,302,167,681,461,31,4,123,517,471,55,0,15,40,9,42,67,0,248,64,25,5,44,700,3,2,1,0,21,118,0,0,80,333,307,3,1,13,110,115,154,2,0,3,11,4,2,8,10,12,4,19,5,1,2,218,201,608,3,9,2,0,2,0,1,4,5,0,5,494,2015,02
03,0,0,0,0,6,0,580,0,0,7,9,229,92,24,0,0,0,1,0,0,1,1,1,3,26,42,440,20,110,196,34,86,273,0,161,116,345,215,22,1,157,313,724,58,0,1,6,26,20,11,0,93,47,26,9,48,529,6,0,0,0,17,60,0,0,85,286,266,0,0,0,83,65,123,1,0,1,15,0,0,1,1,8,1,15,5,1,0,224,129,521,10,10,2,0,5,4,0,2,4,0,6,299,2015,03
04,0,0,3,0,0,1,184,0,0,1,8,115,30,7,0,5,0,1,1,0,0,1,0,0,21,35,122,13,80,58,11,55,57,0,70,45,194,34,3,2,33,127,212,14,0,7,7,15,8,7,0,20,16,12,7,44,143,5,1,0,0,14,17,0,0,18,105,59,1,0,4,31,30,21,1,0,4,1,0,0,0,0,2,0,2,0,0,0,39,53,135,1,4,0,0,1,0,0,1,2,0,1,90,2015,04
05,0,0,0,0,6,0,228,0,0,2,8,84,25,12,0,2,0,1,0,0,2,2,0,3,23,28,115,14,73,163,0,57,93,0,63,24,192,80,7,1,81,254,337,28,0,4,0,1,7,8,0,29,19,7,0,11,148,1,1,0,0,1,7,0,0,55,108,82,57,38,4,30,24,40,1,0,2,5,1,0,16,6,10,3,10,4,1,0,66,43,176,9,13,13,3,1,0,0,0,2,0,0,88,2015,05
06,3,0,14,1,35,2,4058,0,1,74,240,1911,862,354,0,22,0,20,14,7,7,50,7,37,1063,1144,4022,615,370,1297,197,4972,660,1,1187,2349,4044,1245,137,3,696,3282,8272,524,7,77,45,114,94,155,0,567,273,240,119,300,2460,9,48,2,2,35,267,1,4,264,2481,1545,571,138,114,601,667,519,16,1,5,53,10,0,289,68,67,13,98,66,4,20,484,1411,3627,17,155,50,3,24,8,0,37,210,7,269,2133,2015,06
07,0,0,0,0,1,0,177,0,0,3,8,80,27,4,0,2,0,0,1,0,1,1,3,1,11,17,163,16,86,75,1,69,203,0,77,78,158,125,5,3,63,180,136,29,0,3,4,4,6,5,0,26,44,12,3,14,240,5,0,1,0,13,16,0,0,47,98,88,0,0,4,17,23,53,0,0,0,1,1,0,1,2,0,1,2,2,0,0,56,46,168,5,5,0,0,0,0,0,1,2,0,0,71,2015,07
08,0,0,1,0,0,1,458,0,0,1,17,200,73,14,0,2,0,0,0,1,3,3,3,3,38,35,199,6,49,155,10,113,134,0,112,80,180,107,10,4,77,192,347,41,0,3,7,11,17,16,0,73,21,8,4,25,289,0,1,0,0,12,122,0,0,112,187,256,2,1,0,100,94,99,1,0,2,2,0,0,0,4,0,0,4,0,1,0,187,63,227,1,7,0,0,1,0,0,4,0,1,2,116,2015,08
09,0,0,0,0,1,0,151,0,0,0,5,59,24,8,0,0,0,0,1,0,0,0,0,0,6,10,78,9,24,44,2,7,31,0,35,14,117,35,9,4,38,57,195,11,2,1,4,6,5,2,0,24,11,12,1,14,187,1,0,0,0,2,6,0,0,24,37,28,1,0,1,26,32,27,0,0,0,5,1,0,3,2,1,0,5,0,1,0,7,33,115,2,4,0,0,0,0,0,0,0,0,0,81,2015,09
10,0,0,0,0,5,2,665,0,0,5,44,232,172,31,0,6,0,1,1,0,0,10,3,6,86,125,420,0,139,144,31,216,421,0,141,119,580,180,15,0,181,0,689,90,0,15,13,0,39,18,0,135,81,23,3,39,418,1,1,0,0,7,79,1,0,34,316,288,2,0,0,64,84,118,0,0,2,4,0,0,9,7,4,0,8,5,1,0,387,131,622,6,14,1,0,1,0,0,1,1,1,1,268,2015,10
11,0,0,1,0,2,0,644,0,0,13,30,313,106,31,0,6,0,3,5,2,3,15,4,4,60,63,778,30,90,56,26,384,265,0,274,125,649,193,20,3,189,316,795,79,1,4,10,14,30,58,0,112,75,27,6,31,389,3,4,1,0,43,99,0,1,121,239,311,156,56,26,112,98,92,1,0,1,7,5,0,31,3,6,0,14,6,2,0,75,139,423,10,145,18,1,4,1,0,3,5,1,1,303,2015,11
12,0,0,1,0,0,0,257,0,0,3,15,127,56,17,0,0,1,0,0,2,0,0,3,2,25,26,155,29,94,106,8,107,104,0,55,75,207,79,13,1,69,93,355,27,0,6,7,1,19,13,0,28,23,9,3,19,374,1,2,1,1,19,11,0,0,67,92,74,0,1,0,51,48,75,0,0,1,8,0,0,1,1,1,1,3,2,0,0,104,36,219,4,5,0,0,3,0,0,1,15,0,1,143,2015,12
13,24,0,28,3,99,1,7408,0,0,208,534,4251,1283,377,3,157,0,50,117,23,23,426,37,49,2608,2519,8499,339,1580,3328,273,3964,1769,5,7284,3487,14084,5407,471,35,1298,5971,13532,1273,11,182,148,221,243,208,2,1132,514,302,434,425,6405,19,367,4,17,176,898,1,5,577,2995,2476,39,103,236,832,1250,1915,10,0,8,71,38,6,190,85,104,15,160,67,33,2,1958,2783,4811,36,186,98,2,17,5,1,56,93,6,707,4033,2015,13
14,0,0,1,0,2,1,1248,0,0,31,62,620,284,63,0,2,0,2,6,5,2,16,2,5,150,227,711,33,226,478,63,639,563,2,331,242,1009,466,60,1,391,980,1302,160,2,48,20,47,47,77,0,185,93,31,32,150,1217,11,0,1,1,18,171,0,0,198,895,1044,2,40,1,140,151,216,1,0,7,19,2,2,75,22,15,1,124,4,50,0,492,304,949,10,19,7,1,3,20,0,3,4,1,8,631,2015,14
15,0,0,1,0,1,0,112,0,0,1,13,48,11,1,0,0,0,1,0,0,0,0,1,0,8,22,43,5,63,68,2,41,62,0,31,29,148,35,7,4,40,101,193,10,0,0,5,1,0,9,0,12,5,5,0,1,39,0,0,0,0,3,10,0,0,88,164,55,0,0,1,11,14,19,0,0,0,1,1,0,1,0,0,0,1,1,0,0,48,20,125,1,1,0,0,0,0,0,0,0,0,0,51,2015,15
16,0,0,1,0,3,0,604,0,0,12,26,320,103,29,0,1,0,1,1,0,2,6,2,10,29,73,382,10,97,136,26,183,178,0,148,159,476,164,29,1,149,338,700,43,0,18,16,9,0,28,0,74,59,27,4,58,334,1,0,0,0,11,84,0,0,75,592,569,0,1,3,71,80,64,3,0,0,4,1,0,0,3,3,0,12,5,0,0,136,92,448,20,4,0,0,0,1,0,4,2,0,11,223,2015,16
