DepartementPrincipal,Règlements de compte entre malfaireurs,Homicides pour voler et à l'occasion de vols,Homicides pour d'autres motifs,Tentatives d'homicides pour voler et à l'occasion de vols,Tentatives homicides pour d'autres motifs,Coups et blessures volontaires suivis de mort,Autres coups et blessures volontaires criminels ou correctionnels,Prises d'otages à l'occasion de vols,Prises d'otages dans un autre but,Sequestrations,Menaces ou chantages pour extorsion de fonds,Menaces ou chantages dans un autre but,Atteintes à la dignité et à la  personnalité,Violations de domicile,Vols à main armée contre des établissements financiers,Vols à main armée contre des éts industriels ou commerciaux,Vols à main armée contre des entreprises de transports de fonds,Vols à main armée contre des particuliers à leur domicile,Autres vols à main armée,"Vols avec armes blanches contre des établissements financiers,commerciaux ou industriels",Vols avec armes blanches contre des particuliers à leur domicile,Autres vols avec armes blanches,"Vols violents sans arme contre des établissements financiers,commerciaux ou industriels",Vols violents sans arme contre des particuliers à leur domicile,Vols violents sans arme contre des femmes sur voie publique ou autre lieu public,Vols violents sans arme contre d'autres victimes,Cambriolages de locaux d'habitations principales,Cambriolages de résidences secondaires,"Camb.de  locaux industriels, commerciaux ou financiers",Cambriolages d'autres lieux,Vols avec entrée par ruse en tous lieux,Vols à la tire,Vols à l'étalage,Vols de véhicules de transport avec frêt,Vols d'automobiles,Vols de véhicules motorisés à 2 roues,Vols à la roulotte,Vols d''accessoires sur véhicules à moteur immatriculés,Vols simples sur chantier,Vols simples sur exploitations agricoles,Autres vols simples contre des établissements publics ou privés,Autres vols simples contre des particuliers dans  deslocaux privés,Autres vols simples contre des particuliers dans des locaux ou lieux publics,Recels,Proxénétisme,Viols sur des majeur(e)s,Viols sur des mineur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des majeur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des mineur(e)s,Atteintes sexuelles,Homicides commis contre enfants de moins de 15 ans,"Violences, mauvais traitements et abandons d'enfants.",Délits au sujet de la garde des mineurs,Non versement de pension alimentaire,Trafic et revente sans usage de stupéfiants,Usage-revente de stupéfiants,Usage de stupéfiants,Autres infractions à la législation sur les stupéfiants,Délits de débits de boissons et infraction à la règlementation sur l'alcool  et le tabac,Fraudes alimentaires et infractions à l'hygiène,Autres délits contre santé publique et la réglementation des professions médicales,Incendies volontaires de biens publics,Incendies volontaires de biens privés,Attentats à l'explosif contre des biens publics,Attentats à l'explosif contre des biens privés,Autres destructions er dégradations de biens publics,Autres destructions er dégradations de biens privés,Destructions et dégradations de véhicules privés,Infractions aux conditions générales d'entrée et de séjour des étrangers,"Aide à l'entrée, à la circulation et au séjour des étrangers",Autres infractions à la police des étrangers,Outrages à dépositaires autorité,Violences à dépositaires autorité,Port ou détention armes prohibées,Atteintes aux intérêts fondamentaux de la Nation,Délits des courses et des jeux,Délits interdiction de séjour et de paraître,"Destructions, cruautés et autres délits envers les animaux",Atteintes à l'environnement,Chasse et pêche,Faux documents d'identité,Faux documents concernant la circulation des véhicules,Autres faux documents administratifs,Faux en écriture publique et authentique,Autres faux en écriture,Fausse monnaie,Contrefaçons et fraudes industrielles et commerciales,Contrefaçons littéraires et artistique,Falsification et usages de chèques volés,Falsification et usages de cartes de crédit,Escroqueries et abus de confiance,Infractions à la législation sur les chèques,Travail clandestin,Emploi d'étranger sans titre de travail,Marchandage - prêt de main d'oeuvre,"Banqueroutes, abus de biens sociaux et autres délits de société","Prix illicittes, publicité fausse et infractions aux règles de la concurrence",Achats et ventes sans factures,Infractions à l'exercice d'une profession règlementée,Infractions au droit de l'urbanisme et de la construction,Fraudes fiscales,Autres délits économiques et financiers,Autres délits,Année,Departement
11,0,0,0,1,7,2,640,0,0,7,30,300,111,43,1,7,0,2,0,1,1,17,2,6,80,66,788,29,94,88,33,398,205,0,198,103,700,148,20,1,181,406,741,86,1,8,19,9,22,16,0,111,55,17,3,24,292,1,0,4,2,30,86,0,0,103,237,262,95,39,30,73,77,77,1,1,1,5,3,0,33,6,8,1,14,1,1,4,74,127,643,15,118,4,0,3,0,0,0,3,1,8,273,2016,11
12,0,0,0,0,2,0,236,0,0,5,18,151,38,22,0,0,0,0,1,1,0,4,1,1,10,22,190,18,87,45,10,55,107,0,49,57,192,96,11,1,31,105,403,13,0,5,6,9,13,13,0,40,30,13,7,37,292,1,1,0,0,15,19,0,0,38,121,92,2,2,1,47,40,102,0,0,0,5,1,1,1,0,1,0,3,4,0,0,69,57,222,4,1,0,0,3,0,0,0,3,1,1,147,2016,12
13,25,0,19,3,124,2,7944,1,3,176,549,4422,1180,448,3,82,2,38,111,22,24,428,32,68,2326,2486,8293,368,1241,3141,216,4405,1832,6,6732,3694,11356,5277,444,21,1448,5728,14491,1350,18,187,169,172,212,264,0,1149,582,364,598,294,5407,22,380,5,9,142,931,1,5,555,2843,2422,45,104,160,876,1180,1798,14,3,15,77,29,8,123,83,106,15,228,42,40,13,2677,2662,5375,41,246,84,3,27,8,4,54,134,8,268,4028,2016,13
14,0,0,2,0,3,1,1342,0,0,17,48,638,291,73,0,4,0,0,3,1,2,14,4,9,141,199,677,74,219,409,59,753,642,0,270,208,1134,387,39,2,370,304,1530,141,1,50,34,44,72,27,0,196,130,40,23,127,948,9,3,0,1,25,160,0,1,204,865,834,0,33,10,156,165,240,1,0,9,16,5,1,44,30,23,4,119,7,3,1,281,327,1061,10,41,11,0,2,6,0,2,7,1,14,596,2016,14
15,0,0,1,0,0,0,105,0,0,2,9,42,19,9,0,1,0,0,0,0,0,1,2,1,8,10,78,4,32,50,7,36,58,0,30,13,152,32,4,0,43,75,192,0,0,3,4,0,6,7,0,14,4,2,2,1,52,0,1,0,0,20,9,0,0,33,91,32,0,0,0,6,13,15,1,0,0,1,0,0,1,0,1,0,1,0,0,0,60,16,168,2,0,0,0,0,0,0,0,0,0,2,52,2016,15
16,0,0,2,0,4,0,632,0,0,19,32,298,114,29,0,5,0,1,3,1,1,3,2,4,45,76,431,18,76,167,17,97,157,1,171,144,681,164,26,5,153,407,116,43,0,16,16,19,31,24,0,98,82,17,10,47,324,7,0,0,0,11,82,0,0,79,521,520,2,0,1,91,76,91,1,0,5,10,4,0,0,1,4,0,7,12,0,0,120,105,499,12,2,0,0,0,1,0,1,2,0,10,277,2016,16
17,0,0,2,0,4,0,816,1,0,7,39,325,114,36,0,7,0,1,7,5,0,11,5,9,79,116,666,110,205,320,42,306,321,0,298,356,1004,433,41,2,320,1072,1654,145,0,38,13,24,49,31,0,122,78,26,18,98,828,2,0,1,0,18,59,0,0,204,664,851,1,1,3,96,112,204,0,0,0,10,2,3,6,3,7,1,28,4,0,1,335,191,593,10,10,0,0,3,0,0,2,5,0,4,334,2016,17
18,0,0,0,0,0,0,498,1,0,13,39,194,116,33,0,5,0,0,1,1,1,16,1,9,50,67,509,35,99,169,20,154,162,0,155,115,332,156,15,0,32,268,532,68,0,14,17,21,27,17,1,68,41,14,4,19,221,2,4,0,0,24,119,0,0,94,527,161,15,2,10,47,56,87,1,0,0,7,2,0,5,2,6,0,20,3,1,0,79,112,487,4,19,1,0,5,0,0,2,3,3,0,249,2016,18
19,0,0,1,0,1,0,394,0,0,4,16,162,61,27,0,1,0,1,0,0,1,4,3,4,25,25,174,23,84,92,28,117,141,0,66,70,214,89,5,3,24,201,396,18,0,18,4,10,9,22,0,43,15,14,1,34,241,1,0,0,0,4,29,0,0,55,249,102,0,0,3,53,42,49,0,0,0,8,2,0,3,2,2,0,6,2,1,0,33,65,436,29,12,0,0,1,1,0,1,1,0,1,149,2016,19
21,1,0,2,1,8,0,876,0,0,14,53,340,150,40,0,8,0,1,1,4,1,11,3,7,70,118,674,25,182,480,32,231,275,0,211,234,705,258,19,2,27,84,1168,147,5,2,2,57,9,47,1,157,148,51,35,83,430,3,1,2,2,11,134,1,0,206,781,537,3,23,10,118,121,173,2,0,5,12,6,0,27,27,13,3,36,6,6,2,365,288,1011,5,24,6,0,8,1,1,4,9,2,11,427,2016,21
22,0,0,0,0,1,1,393,0,0,4,13,154,60,19,1,3,0,1,0,0,1,2,3,1,45,81,331,19,123,114,25,296,203,0,92,140,410,136,20,0,125,304,621,56,0,11,15,32,22,19,0,63,9,29,2,59,286,3,0,0,0,10,33,0,0,81,261,205,0,1,2,66,66,56,0,0,4,3,1,12,19,3,5,1,8,4,1,0,107,190,385,11,8,1,0,0,0,0,0,1,0,1,182,2016,22
23,0,0,1,0,0,0,50,0,0,2,2,24,6,1,0,0,0,0,1,0,0,1,0,0,2,3,56,7,28,39,2,19,21,0,13,10,49,19,4,2,25,0,0,11,0,1,1,3,1,2,0,9,2,1,2,5,11,0,0,0,0,1,4,0,0,10,26,34,0,1,2,2,9,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,14,79,0,0,0,0,0,0,0,1,0,0,0,30,2016,23
24,0,0,0,0,3,0,375,0,0,5,10,124,68,13,0,0,0,0,0,1,3,5,0,4,31,42,350,13,153,79,14,155,298,0,157,127,316,80,13,0,80,380,383,58,0,12,7,17,18,22,0,53,14,12,2,55,220,1,1,0,0,4,30,0,0,59,322,382,1,0,0,47,47,51,1,0,0,3,0,0,7,1,5,0,8,4,1,0,116,88,325,4,11,1,0,3,2,0,1,1,0,3,118,2016,24
25,0,0,1,0,22,0,1322,0,0,31,86,790,258,49,0,17,0,3,3,8,3,31,7,5,18,192,574,33,248,481,23,375,488,1,302,145,815,317,19,0,329,315,1036,119,1,35,28,34,13,33,0,266,49,25,33,115,688,7,14,0,1,82,265,0,0,270,542,393,34,41,16,159,166,253,1,0,16,4,5,0,36,29,16,2,22,10,5,1,391,202,1086,55,69,35,0,8,0,1,5,6,0,12,581,2016,25
26,0,0,2,0,11,3,994,0,0,14,53,534,164,45,0,6,0,1,4,4,0,16,5,1,161,172,1122,26,208,247,24,156,241,1,524,251,1065,413,26,0,167,716,1198,131,0,25,7,9,31,40,0,203,81,34,20,46,753,2,5,0,0,23,199,0,0,177,635,249,14,6,10,131,141,269,1,0,5,11,3,0,7,4,12,1,24,5,1,0,60,210,931,2,17,2,0,4,1,0,4,1,2,11,351,2016,26
27,0,0,2,0,7,0,829,0,0,15,46,323,118,27,0,1,0,7,3,1,3,5,6,4,89,103,395,16,119,202,20,187,217,1,299,138,643,250,20,0,132,415,487,74,0,18,27,33,35,22,0,183,83,37,10,67,777,1,0,0,0,12,99,0,0,61,220,165,3,6,3,129,142,129,2,0,1,12,0,0,2,6,5,1,18,11,0,0,156,142,655,7,7,0,0,3,1,0,1,0,0,2,378,2016,27
28,0,0,3,0,15,2,569,0,1,13,33,360,184,29,0,1,0,0,0,0,1,7,2,1,67,68,330,4,119,85,8,175,189,0,158,65,501,158,23,1,131,0,633,70,0,16,22,23,33,44,0,175,63,38,38,49,410,1,8,0,3,27,70,0,0,248,302,203,6,1,2,116,119,80,1,0,3,3,0,0,1,7,7,2,11,6,3,1,94,110,607,2,17,1,0,7,2,0,1,5,3,16,358,2016,28
29,0,0,0,0,3,2,1272,0,0,10,39,470,222,74,0,6,0,3,9,6,2,24,4,12,140,303,582,43,221,298,26,454,514,0,220,228,1040,328,36,1,299,1213,1590,34,1,61,31,14,40,76,1,176,101,36,22,125,917,1,4,0,1,49,197,0,0,262,1036,1271,3,2,10,231,187,240,4,0,10,19,1,0,7,5,13,1,21,1,1,1,455,443,1080,8,23,2,0,3,3,1,7,1,1,9,486,2016,29
2A,1,0,1,0,12,1,275,0,0,5,14,137,46,18,0,7,0,1,2,0,0,3,2,1,19,20,92,5,34,39,10,101,41,0,82,139,76,84,6,0,32,144,204,32,0,5,14,7,0,7,0,28,15,9,12,16,264,0,2,0,1,26,49,0,5,21,102,419,1,36,2,29,31,84,1,0,0,7,4,0,9,1,8,5,14,2,0,0,80,20,213,12,17,20,0,14,1,0,3,9,2,11,183,2016,2A
2B,0,0,1,0,5,0,200,0,0,4,14,121,56,16,0,2,0,0,0,0,0,0,1,1,25,12,84,5,51,23,1,37,18,0,73,82,73,109,3,0,25,121,248,10,0,8,6,3,8,0,0,24,27,10,1,1,128,1,1,1,0,19,95,0,2,19,76,319,1,27,1,20,25,36,0,1,1,5,0,0,7,2,11,0,8,0,0,0,18,6,157,1,22,20,1,0,2,0,0,8,0,2,136,2016,2B
30,0,0,4,0,12,2,1226,0,0,25,42,690,258,70,0,4,0,1,4,2,4,23,2,11,298,247,1272,62,220,334,37,187,380,0,655,321,1524,530,48,3,104,1244,1981,147,0,20,18,36,47,31,0,187,118,35,16,81,532,1,16,1,0,37,205,0,0,127,681,640,6,46,23,171,192,220,3,0,2,14,3,0,50,13,39,3,41,4,1,0,299,391,901,10,44,42,0,1,1,1,3,2,0,16,504,2016,30
31,0,0,16,0,46,1,3103,0,1,62,193,1645,572,197,2,10,0,3,12,8,7,85,17,17,972,1092,5772,161,727,767,137,4277,772,2,994,658,6929,1404,105,5,730,52,5035,496,9,131,68,159,0,115,0,458,225,73,82,410,2265,3,129,1,3,48,458,0,2,285,1986,884,23,77,39,308,426,558,5,1,5,30,8,0,70,63,102,7,84,20,10,4,731,1417,2925,34,88,56,2,25,12,4,11,14,8,71,1805,2016,31
32,0,0,1,0,1,0,100,0,0,2,3,34,12,1,0,0,0,0,0,0,1,2,1,0,9,11,157,10,67,14,4,42,85,0,15,11,113,45,1,0,26,64,0,4,0,3,0,3,0,0,0,10,6,4,1,8,55,1,0,0,0,2,15,0,0,14,52,74,0,0,5,20,22,26,0,0,0,2,0,0,1,1,0,0,4,2,0,0,41,28,101,3,2,1,0,1,0,0,0,0,0,0,49,2016,32
33,0,0,9,3,14,1,3204,0,0,42,165,1217,569,213,0,24,0,15,6,5,8,81,25,24,604,904,3502,156,1063,497,140,2981,1803,1,1095,1019,4459,1279,247,4,950,2826,6297,655,17,125,2,160,123,257,0,446,298,119,41,251,1788,1,20,4,7,29,221,0,3,381,2627,1288,4,50,55,263,348,375,10,0,2,24,12,1,89,108,73,7,101,34,17,8,596,901,2841,67,84,48,1,16,14,3,15,128,13,105,1413,2016,33
34,0,0,6,0,23,0,2894,0,0,58,156,1196,392,128,3,8,0,14,8,4,5,110,15,25,905,855,3232,150,486,848,68,2428,534,1,1016,721,2868,1073,122,5,634,3450,5145,183,4,83,47,97,75,100,0,353,200,120,38,228,1802,5,33,1,3,54,202,3,0,245,2239,1132,13,90,24,281,356,560,7,2,6,28,12,2,83,18,41,6,73,31,7,2,380,1518,2102,48,134,110,2,25,5,0,13,106,3,135,1355,2016,34
35,0,0,5,2,22,3,1600,0,0,24,73,671,228,61,1,13,1,8,0,4,4,31,15,7,222,391,831,22,424,428,72,1185,485,0,365,276,1476,457,41,0,353,1366,2663,213,0,12,50,78,59,87,1,191,70,31,102,208,819,8,0,0,2,17,115,0,0,252,1333,660,0,39,21,213,258,223,2,0,18,11,10,0,61,62,13,5,46,10,0,0,312,814,1135,18,59,32,0,12,4,0,6,6,8,17,747,2016,35
36,0,0,0,0,2,0,227,0,0,2,10,130,48,7,0,0,0,0,0,0,0,0,1,1,14,19,140,8,51,41,10,70,116,0,47,54,162,87,6,1,88,177,0,87,0,2,4,8,19,11,0,49,12,4,1,11,163,0,1,0,0,21,52,0,0,48,100,99,0,0,0,60,53,38,0,0,0,5,4,0,2,2,2,0,13,1,1,0,71,36,200,8,8,0,0,0,0,0,0,1,1,0,97,2016,36
37,0,0,1,0,6,3,947,0,0,11,66,266,129,45,0,3,0,0,0,4,2,27,7,8,185,224,545,21,260,395,48,697,332,0,245,352,798,466,25,0,249,831,1532,112,1,30,17,52,55,47,0,131,79,30,11,79,599,2,3,0,1,25,187,0,0,113,925,866,2,2,1,101,119,79,0,0,1,8,0,0,11,12,20,0,21,7,3,0,295,320,908,11,14,3,0,5,2,0,3,4,0,6,346,2016,37
38,5,0,2,1,20,0,1969,0,0,44,103,1067,524,50,3,14,0,2,9,9,9,98,16,12,493,421,2808,28,674,1851,93,1268,370,0,810,490,2581,1257,45,1,471,1391,2874,262,3,59,8,80,59,69,1,316,195,73,34,114,710,2,7,1,1,50,687,1,1,256,905,1159,8,26,10,247,311,411,3,0,0,8,3,0,39,15,25,3,32,29,8,0,244,658,1304,17,52,5,0,37,1,1,10,6,5,20,684,2016,38
39,0,0,0,0,0,0,210,0,0,3,8,112,70,10,0,0,0,0,0,1,0,1,0,6,16,22,120,6,70,48,13,51,129,0,50,39,186,62,8,0,90,213,291,25,0,6,7,9,21,12,0,51,20,8,3,27,214,3,0,1,0,7,16,0,0,29,83,50,2,0,2,24,28,77,0,0,2,0,0,0,0,2,1,0,6,2,1,0,121,60,240,0,2,0,0,0,3,0,1,0,1,1,100,2016,39
40,0,0,1,0,1,0,287,0,0,0,8,140,46,9,0,0,0,0,0,1,0,3,0,1,27,31,218,9,37,70,22,177,158,0,48,108,291,104,13,2,34,339,589,146,0,15,5,2,16,15,1,60,25,21,11,54,253,2,4,0,0,14,22,0,1,119,213,187,0,1,0,57,46,43,2,0,0,6,1,0,2,2,3,0,7,0,0,0,91,90,326,0,4,0,0,2,1,0,0,0,0,3,187,2016,40
41,1,0,2,0,5,1,371,0,0,0,21,266,127,28,0,1,0,1,1,1,1,7,1,4,30,77,339,20,86,141,7,184,133,0,316,119,494,230,18,6,155,348,529,67,0,15,11,16,23,20,0,83,51,17,5,51,354,3,2,0,0,22,64,0,1,104,258,231,1,0,1,68,72,79,1,0,0,6,0,0,11,3,4,0,10,2,0,0,203,100,427,6,10,0,0,2,0,0,2,2,0,1,241,2016,41
42,2,0,10,0,19,1,1676,0,0,44,75,1001,355,99,1,12,0,1,2,7,4,28,7,12,298,325,1867,41,626,797,38,866,842,0,866,287,1965,856,79,6,684,776,1776,225,1,47,10,73,42,61,0,331,119,66,15,103,1467,2,14,1,4,74,614,0,0,385,1446,653,3,2,4,266,265,177,1,0,5,9,6,0,12,19,19,2,63,32,13,2,321,369,1517,82,50,4,1,14,6,1,6,8,5,24,861,2016,42
43,0,0,0,0,2,0,181,0,0,6,3,95,39,5,0,0,0,0,1,1,1,0,1,3,10,17,87,2,24,23,5,38,97,0,37,22,50,34,0,0,71,155,125,19,0,5,5,7,12,10,0,24,19,6,0,5,232,0,0,1,0,7,7,0,0,32,131,68,1,1,0,37,35,49,0,0,0,4,1,0,3,1,2,0,2,3,2,0,16,11,140,3,1,0,0,0,0,0,0,1,0,3,92,2016,43
44,0,0,8,0,16,0,2556,0,0,48,170,1066,419,132,0,14,0,10,21,9,3,101,11,21,220,571,3421,141,1021,1314,97,3298,1156,0,1191,1326,5750,2197,188,2,121,3068,4412,419,12,98,69,17,105,135,0,450,169,66,56,174,1681,4,5,0,0,76,461,0,1,616,1593,1412,65,47,43,295,464,517,2,0,7,16,8,4,79,42,20,1,48,16,1,2,418,1211,2245,13,36,34,0,4,1,0,18,7,3,18,1572,2016,44
45,0,0,2,0,11,0,1479,0,0,26,116,717,234,52,0,5,1,3,7,6,7,24,15,17,215,282,1518,65,257,457,42,554,339,0,466,245,1062,603,50,2,529,160,1463,176,3,82,51,9,103,87,1,388,142,56,32,94,843,4,6,1,0,85,247,0,0,233,714,493,4,26,6,165,236,123,8,1,7,6,1,0,93,65,44,5,55,31,16,3,579,416,1458,24,39,24,2,14,1,0,3,5,6,20,764,2016,45
46,0,0,1,0,0,0,80,0,0,2,2,34,11,2,0,1,0,0,0,0,0,0,0,1,11,8,107,4,19,36,5,21,34,0,47,45,49,24,6,0,34,76,90,19,0,2,2,3,4,3,0,11,8,4,1,7,94,0,1,0,0,10,21,0,0,11,26,14,0,0,0,13,13,18,0,0,1,1,0,0,0,0,0,0,0,2,0,0,12,25,104,10,2,0,0,1,1,1,2,2,0,0,40,2016,46
