DepartementPrincipal,Règlements de compte entre malfaireurs,Homicides pour voler et à l'occasion de vols,Homicides pour d'autres motifs,Tentatives d'homicides pour voler et à l'occasion de vols,Tentatives homicides pour d'autres motifs,Coups et blessures volontaires suivis de mort,Autres coups et blessures volontaires criminels ou correctionnels,Prises d'otages à l'occasion de vols,Prises d'otages dans un autre but,Sequestrations,Menaces ou chantages pour extorsion de fonds,Menaces ou chantages dans un autre but,Atteintes à la dignité et à la  personnalité,Violations de domicile,Vols à main armée contre des établissements financiers,Vols à main armée contre des éts industriels ou commerciaux,Vols à main armée contre des entreprises de transports de fonds,Vols à main armée contre des particuliers à leur domicile,Autres vols à main armée,"Vols avec armes blanches contre des établissements financiers,commerciaux ou industriels",Vols avec armes blanches contre des particuliers à leur domicile,Autres vols avec armes blanches,"Vols violents sans arme contre des établissements financiers,commerciaux ou industriels",Vols violents sans arme contre des particuliers à leur domicile,Vols violents sans arme contre des femmes sur voie publique ou autre lieu public,Vols violents sans arme contre d'autres victimes,Cambriolages de locaux d'habitations principales,Cambriolages de résidences secondaires,"Camb.de  locaux industriels, commerciaux ou financiers",Cambriolages d'autres lieux,Vols avec entrée par ruse en tous lieux,Vols à la tire,Vols à l'étalage,Vols de véhicules de transport avec frêt,Vols d'automobiles,Vols de véhicules motorisés à 2 roues,Vols à la roulotte,Vols d''accessoires sur véhicules à moteur immatriculés,Vols simples sur chantier,Vols simples sur exploitations agricoles,Autres vols simples contre des établissements publics ou privés,Autres vols simples contre des particuliers dans  deslocaux privés,Autres vols simples contre des particuliers dans des locaux ou lieux publics,Recels,Proxénétisme,Viols sur des majeur(e)s,Viols sur des mineur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des majeur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des mineur(e)s,Atteintes sexuelles,Homicides commis contre enfants de moins de 15 ans,"Violences, mauvais traitements et abandons d'enfants.",Délits au sujet de la garde des mineurs,Non versement de pension alimentaire,Trafic et revente sans usage de stupéfiants,Usage-revente de stupéfiants,Usage de stupéfiants,Autres infractions à la législation sur les stupéfiants,Délits de débits de boissons et infraction à la règlementation sur l'alcool  et le tabac,Fraudes alimentaires et infractions à l'hygiène,Autres délits contre santé publique et la réglementation des professions médicales,Incendies volontaires de biens publics,Incendies volontaires de biens privés,Attentats à l'explosif contre des biens publics,Attentats à l'explosif contre des biens privés,Autres destructions er dégradations de biens publics,Autres destructions er dégradations de biens privés,Destructions et dégradations de véhicules privés,Infractions aux conditions générales d'entrée et de séjour des étrangers,"Aide à l'entrée, à la circulation et au séjour des étrangers",Autres infractions à la police des étrangers,Outrages à dépositaires autorité,Violences à dépositaires autorité,Port ou détention armes prohibées,Atteintes aux intérêts fondamentaux de la Nation,Délits des courses et des jeux,Délits interdiction de séjour et de paraître,"Destructions, cruautés et autres délits envers les animaux",Atteintes à l'environnement,Chasse et pêche,Faux documents d'identité,Faux documents concernant la circulation des véhicules,Autres faux documents administratifs,Faux en écriture publique et authentique,Autres faux en écriture,Fausse monnaie,Contrefaçons et fraudes industrielles et commerciales,Contrefaçons littéraires et artistique,Falsification et usages de chèques volés,Falsification et usages de cartes de crédit,Escroqueries et abus de confiance,Infractions à la législation sur les chèques,Travail clandestin,Emploi d'étranger sans titre de travail,Marchandage - prêt de main d'oeuvre,"Banqueroutes, abus de biens sociaux et autres délits de société","Prix illicittes, publicité fausse et infractions aux règles de la concurrence",Achats et ventes sans factures,Infractions à l'exercice d'une profession règlementée,Infractions au droit de l'urbanisme et de la construction,Fraudes fiscales,Autres délits économiques et financiers,Autres délits,Année,Departement
11,0,0,2,0,12,1,653,0,0,22,22,310,106,44,0,2,1,1,1,0,0,3,2,8,43,44,519,30,123,71,24,389,253,1,217,88,751,109,42,0,190,397,531,65,1,21,25,23,45,31,0,142,48,8,3,28,299,2,7,4,3,57,120,1,0,100,268,211,11,28,9,80,75,85,2,0,7,8,1,0,58,7,4,0,14,7,2,0,69,108,524,7,24,8,0,5,6,0,4,2,0,7,260,2019,11
12,0,0,0,0,2,0,290,0,0,2,12,164,57,16,0,1,0,0,0,0,0,2,2,0,8,22,173,18,60,40,6,60,88,0,35,58,128,41,12,2,71,219,252,20,0,7,16,15,22,12,0,64,21,6,12,22,290,3,3,0,0,30,23,0,0,36,107,84,0,1,0,51,45,100,0,0,2,3,2,0,2,1,0,1,11,3,2,0,78,40,265,0,4,0,0,0,0,0,3,1,0,0,109,2019,12
13,11,2,33,3,120,13,9851,2,7,181,647,5062,1220,533,4,86,0,31,104,21,30,396,14,57,1912,2133,9312,449,1612,3178,251,5883,1521,6,5168,3645,11687,4391,448,25,1231,4975,10875,1513,26,346,222,379,338,325,0,1450,390,226,986,505,3834,19,568,2,22,142,763,3,4,595,3171,3663,202,96,401,924,1395,1864,8,4,65,71,39,10,225,108,68,26,287,37,89,33,1403,3211,6705,30,348,103,0,22,25,0,35,63,15,349,4125,2019,13
14,0,0,2,0,6,1,1321,0,1,33,68,796,308,74,0,2,0,0,4,8,3,12,4,6,92,153,704,76,155,353,46,652,421,0,278,196,1037,272,46,3,307,1212,1072,119,0,58,81,63,82,88,0,274,60,25,32,130,729,1,4,0,2,48,197,0,2,191,857,774,2,45,5,195,207,230,0,0,2,12,4,2,37,14,3,1,29,8,7,0,310,350,1214,12,27,13,0,7,1,0,5,2,4,7,774,2019,14
15,0,0,0,0,1,1,163,0,0,0,7,84,49,9,0,0,0,1,0,1,2,1,0,2,10,5,67,5,34,32,6,22,58,0,20,11,62,32,7,1,37,109,155,13,0,6,6,8,14,4,0,26,10,6,8,12,67,0,1,0,0,0,20,0,0,22,89,39,3,0,0,18,14,25,0,0,0,1,2,0,1,2,0,0,3,0,0,0,76,44,204,0,0,0,0,0,0,1,0,0,0,2,70,2019,15
16,0,0,3,0,3,0,801,0,0,5,32,436,128,31,0,0,0,0,1,2,0,7,4,5,40,88,465,12,102,101,15,142,181,0,137,86,652,130,30,0,155,427,643,66,0,34,22,31,36,37,0,132,43,8,47,144,496,3,2,1,1,6,49,0,0,96,430,278,4,0,9,104,105,94,0,0,12,4,1,1,4,5,2,0,6,11,1,0,127,92,591,9,4,0,0,1,0,4,3,0,3,6,270,2019,16
17,0,0,2,2,17,0,1054,0,2,13,31,356,159,47,0,2,0,0,2,2,2,5,3,3,76,122,758,77,308,245,57,392,303,0,241,250,865,283,42,4,296,930,1388,124,1,40,49,46,92,63,1,186,94,19,23,116,764,1,0,0,1,22,76,0,1,243,706,797,6,1,8,126,171,160,0,0,6,11,0,0,3,7,6,2,34,10,1,1,363,277,740,8,12,0,0,2,1,0,0,3,0,3,398,2019,17
18,0,0,1,0,4,0,555,0,0,5,28,216,97,16,0,0,0,0,2,4,2,4,0,1,20,67,419,25,119,208,15,120,186,0,120,64,310,139,19,3,143,336,420,36,1,23,17,26,44,26,0,97,33,15,6,32,242,2,0,0,0,36,95,0,0,133,331,152,1,0,2,56,72,95,1,0,1,5,1,1,3,1,0,3,15,8,0,0,38,104,441,1,5,0,0,0,0,0,1,3,0,3,231,2019,18
19,0,0,1,0,1,1,382,0,0,4,12,213,74,19,0,0,0,0,1,0,1,2,0,3,14,13,121,12,48,49,9,106,95,0,51,39,317,65,12,2,135,261,316,40,1,12,18,26,16,30,0,63,27,10,8,42,406,1,0,0,0,15,46,0,0,51,136,107,3,1,1,68,68,54,2,0,4,5,1,0,1,1,2,0,9,1,0,0,99,92,384,0,2,0,0,2,0,0,2,2,1,1,155,2019,19
21,0,0,1,0,9,1,1048,0,0,19,58,503,177,36,0,16,0,5,6,1,5,17,3,5,46,106,620,18,249,399,31,364,162,0,170,137,782,168,23,0,318,843,1131,121,7,45,35,75,63,43,0,164,109,26,52,121,462,4,1,0,0,79,364,0,1,222,731,446,5,17,5,154,208,209,1,2,3,5,1,0,69,7,24,2,48,9,8,4,97,347,996,8,25,16,0,18,1,0,7,4,6,15,530,2019,21
22,0,0,0,0,1,0,534,0,1,8,15,177,91,13,0,0,0,0,1,0,1,8,3,0,26,73,294,8,83,125,15,227,217,0,74,81,369,147,15,0,126,324,525,53,0,17,22,35,34,19,0,82,25,16,17,107,331,2,2,0,0,15,42,0,0,57,305,235,2,1,3,83,70,51,3,0,7,5,0,0,0,3,0,0,4,9,1,0,89,142,458,7,9,0,0,2,0,0,1,2,0,1,194,2019,22
23,0,0,0,0,0,0,106,0,0,1,4,44,13,5,0,1,0,0,0,1,0,0,0,1,2,2,31,3,38,16,1,17,16,0,10,8,64,30,1,0,37,47,55,13,0,2,4,4,4,10,0,14,7,0,1,25,13,0,0,0,0,4,17,0,0,10,26,14,0,2,3,16,12,8,0,0,0,0,0,0,0,1,0,0,2,1,0,0,13,13,57,0,0,0,0,0,0,0,0,0,0,0,31,2019,23
24,0,0,2,0,0,0,533,0,0,1,23,175,73,23,0,1,0,1,0,2,1,6,1,1,27,46,329,20,109,68,22,157,165,0,81,96,359,114,21,0,109,374,390,32,1,21,18,31,29,19,0,67,20,14,5,36,305,0,0,0,0,15,36,0,0,90,326,417,0,0,1,42,46,79,2,0,2,8,1,0,1,2,1,0,18,7,0,0,159,109,385,1,9,0,0,1,1,0,0,1,0,2,138,2019,24
25,0,0,3,1,17,0,1795,0,4,23,100,855,265,68,1,10,1,1,3,3,1,27,10,5,89,144,503,44,283,390,16,399,398,1,237,96,721,196,24,0,333,892,980,116,0,57,25,64,40,54,4,318,46,16,79,199,708,3,2,0,2,82,305,0,0,228,489,433,9,45,14,179,227,282,3,0,11,6,0,1,94,7,14,2,40,23,0,10,311,278,1133,70,30,27,0,1,1,2,8,4,2,37,601,2019,25
26,1,0,5,2,10,2,1065,0,0,28,32,530,160,55,1,9,0,1,7,3,1,17,6,1,87,121,761,24,197,213,19,198,313,1,438,218,1171,299,41,6,250,673,1338,156,1,53,43,38,54,47,0,199,71,23,23,60,693,0,8,1,0,43,208,1,1,203,639,275,9,1,14,129,149,164,2,0,7,6,2,0,8,3,15,5,28,11,4,3,96,267,828,5,12,2,0,5,0,0,1,3,3,13,350,2019,26
27,0,0,1,0,4,0,801,0,1,10,46,306,121,30,0,2,0,1,2,3,0,9,1,7,77,104,266,15,146,152,17,185,237,0,270,86,537,245,23,2,157,439,489,60,0,29,29,40,53,35,0,150,30,19,12,43,580,0,0,0,0,25,121,0,1,79,211,101,3,2,4,115,140,101,7,0,2,4,2,0,6,10,4,0,14,5,0,0,126,170,802,1,4,0,0,0,0,0,1,1,0,6,467,2019,27
28,0,0,1,0,10,0,676,0,0,12,30,389,154,23,0,0,0,0,3,4,6,12,6,6,35,67,330,16,111,90,15,164,169,0,129,63,403,125,15,1,162,451,471,69,0,28,20,43,47,32,0,186,48,20,57,79,459,2,7,1,0,30,99,0,0,319,299,229,1,4,2,105,142,98,0,0,2,5,2,1,7,7,7,4,16,5,5,2,92,114,665,9,19,8,0,4,2,0,9,3,2,13,308,2019,28
29,0,0,2,0,11,1,1523,0,2,14,59,534,213,84,0,5,0,2,3,4,3,13,4,10,92,218,424,32,231,173,37,472,440,0,187,186,1223,248,33,1,335,1030,1562,157,0,83,42,77,55,77,0,257,115,30,29,133,766,5,1,1,0,48,275,0,0,281,948,1037,6,0,46,190,188,198,2,0,38,10,8,0,12,4,12,3,23,5,9,2,199,462,1097,18,18,3,1,5,1,0,7,7,1,8,527,2019,29
2A,3,0,2,0,5,0,258,0,0,2,10,153,62,21,0,2,0,0,4,0,0,1,1,0,14,25,44,7,31,40,6,93,27,0,69,116,53,67,8,0,21,135,172,30,1,8,12,13,16,24,0,38,20,12,5,14,179,0,4,0,1,18,63,0,0,29,126,361,0,33,3,24,32,71,2,0,1,5,1,1,11,0,1,1,15,1,0,0,27,37,268,1,21,26,0,9,0,0,4,11,2,13,155,2019,2A
2B,0,0,0,0,1,0,249,0,0,3,18,121,64,20,0,4,0,0,0,0,0,1,0,0,16,16,38,6,25,2,1,33,19,0,64,64,74,95,6,0,18,117,197,15,0,7,5,9,10,14,0,44,17,11,1,7,127,2,1,0,1,10,91,0,0,17,86,173,0,32,5,15,21,29,1,0,1,5,5,0,5,0,10,1,12,1,0,0,21,19,212,0,39,28,2,3,1,0,0,7,0,4,135,2019,2B
30,0,0,3,0,23,0,1387,0,1,18,35,668,209,85,1,3,0,1,6,0,4,22,1,6,188,188,1112,49,290,318,31,165,364,0,616,277,1261,539,41,1,300,1164,1986,145,4,33,37,59,54,61,1,222,122,51,63,103,559,5,15,0,2,34,248,1,2,205,691,558,4,57,14,205,264,224,1,1,4,14,1,0,21,7,23,7,39,9,4,0,127,419,1051,4,53,39,4,3,0,0,3,3,1,12,595,2019,30
31,4,1,17,1,47,1,3572,4,3,62,215,1731,669,267,0,6,0,3,12,9,10,85,4,15,669,727,4110,160,766,913,103,4598,541,2,868,973,7090,1266,115,1,730,2919,5708,517,6,204,113,217,132,158,0,572,240,47,244,857,1542,14,100,0,5,52,636,0,0,462,2433,986,24,95,74,390,636,563,4,1,19,11,13,1,128,23,48,14,88,22,7,6,1102,1760,3005,16,83,74,0,25,7,1,10,14,12,98,2233,2019,31
32,0,0,0,0,0,0,133,0,0,1,5,27,16,2,1,0,0,0,1,0,0,0,0,2,8,10,69,2,40,9,4,43,49,0,21,33,119,25,3,1,26,92,157,10,0,3,3,5,22,10,0,33,6,1,4,3,77,0,2,0,0,3,16,0,0,10,29,11,0,0,0,8,21,21,1,0,0,0,0,0,1,1,0,0,1,0,0,0,23,36,107,2,3,0,0,1,0,0,1,0,1,1,48,2019,32
33,1,0,6,2,31,3,3634,2,1,48,147,1456,621,306,1,8,1,4,11,12,9,66,10,33,547,1128,4071,201,1636,587,108,4237,1470,1,1043,1191,7126,1121,254,5,1200,3185,7173,851,17,216,108,241,152,141,2,461,325,88,83,264,1678,21,8,1,7,40,309,0,3,866,3603,1309,16,59,90,355,590,339,6,0,6,29,12,1,73,15,49,4,140,27,43,6,465,1754,3005,12,74,41,2,32,25,0,8,85,16,100,2003,2019,33
34,2,0,8,2,47,5,3321,1,0,56,203,1423,456,187,2,10,1,8,14,5,14,85,7,12,600,837,2789,177,588,1031,89,2970,539,3,1063,671,3381,779,114,3,406,3058,4867,570,5,125,61,158,95,110,0,525,160,53,52,241,1448,9,46,0,3,72,322,2,12,318,2301,1158,19,66,57,378,530,497,3,1,7,29,9,2,76,16,23,6,94,16,10,6,227,1323,2474,18,119,65,4,20,6,1,12,77,6,67,1573,2019,34
35,1,0,4,0,33,2,1794,0,1,23,107,697,268,55,0,11,0,1,4,5,4,29,6,4,132,446,735,39,384,477,77,1427,295,0,298,289,1527,366,72,1,310,1225,2390,200,1,94,39,105,85,103,0,262,74,13,150,248,801,5,4,0,2,49,174,2,1,211,1286,658,7,34,62,242,268,236,1,0,28,13,0,0,68,46,18,3,39,17,3,1,281,727,1291,3,34,25,0,29,1,0,4,6,13,37,671,2019,35
36,0,0,0,0,3,0,290,0,0,4,12,152,50,13,0,0,0,2,0,0,0,0,1,2,11,18,136,6,23,25,7,84,60,0,60,26,204,82,12,1,125,167,247,109,0,10,5,16,15,8,0,48,4,1,5,25,185,2,0,2,1,9,31,0,0,52,120,84,0,0,1,54,37,31,0,0,1,0,1,0,1,1,4,0,5,1,1,0,38,58,214,2,3,0,0,0,1,0,1,2,0,1,88,2019,36
37,0,0,3,1,15,0,1104,0,1,13,68,365,174,48,0,3,0,4,2,3,5,22,2,13,145,245,617,21,238,264,33,862,362,0,225,270,1279,440,14,0,313,717,1862,138,3,65,30,63,63,50,0,241,73,23,52,117,550,2,1,0,3,42,219,0,1,100,481,717,0,7,2,113,178,131,0,0,5,8,2,0,12,4,8,1,28,8,1,5,155,557,1123,0,19,2,0,4,4,1,3,4,5,12,420,2019,37
38,1,1,11,0,39,1,2104,0,0,44,163,1092,600,78,0,7,0,1,14,6,5,72,4,13,468,537,1820,27,332,1315,53,2516,363,1,819,331,4041,804,40,0,315,1690,3098,260,2,83,51,106,89,77,1,363,217,69,67,157,1039,9,13,1,1,86,887,0,0,274,1654,1055,21,24,13,307,329,509,3,0,1,13,4,0,45,11,21,6,34,13,10,2,354,847,1586,17,47,14,1,10,0,0,10,17,4,30,796,2019,38
39,0,0,0,0,1,0,261,0,0,1,11,134,91,6,0,1,0,0,0,0,2,0,2,2,11,19,160,10,53,66,14,67,92,0,36,27,182,53,9,1,55,224,171,25,0,10,6,17,20,14,0,64,8,3,4,18,232,2,2,1,0,4,17,0,0,39,79,55,1,0,5,39,33,73,0,0,3,2,0,0,0,4,1,1,8,7,1,0,58,60,246,1,5,0,0,2,0,0,0,0,0,3,110,2019,39
40,0,0,1,0,2,0,364,0,0,5,12,203,86,16,0,0,0,0,1,0,0,3,0,2,24,44,249,13,62,84,13,112,141,0,64,66,336,70,18,2,109,420,500,103,0,19,11,26,17,15,0,74,16,7,4,23,224,1,0,0,0,14,20,1,0,139,277,162,5,0,2,53,55,40,1,0,0,2,0,0,2,0,2,0,5,5,0,0,31,106,408,8,5,1,0,2,1,0,1,0,2,10,162,2019,40
41,0,0,0,0,1,0,478,0,0,6,26,283,141,12,0,1,0,0,2,0,0,9,4,2,17,64,176,15,69,84,15,153,134,0,101,93,373,125,3,2,120,277,457,72,0,27,23,31,27,31,0,129,24,14,7,46,491,3,3,0,0,23,67,0,0,72,270,212,0,0,4,87,78,108,3,0,0,3,0,0,3,2,4,2,22,1,0,0,117,105,457,13,20,0,0,3,1,0,1,2,0,0,204,2019,41
42,1,0,2,0,13,1,1983,0,0,24,87,1030,337,85,1,4,0,1,4,5,3,25,14,23,250,322,1496,25,689,766,72,1061,658,1,983,223,1757,757,57,5,523,1352,1825,258,0,67,49,59,100,80,1,326,102,39,54,104,1335,0,10,1,0,77,817,1,0,392,1989,746,3,1,2,322,306,219,3,0,3,13,15,0,21,7,20,6,50,23,0,0,278,547,1703,11,28,6,0,9,13,0,8,14,0,20,852,2019,42
43,0,0,0,0,1,0,148,0,0,1,15,71,21,7,0,0,0,0,0,0,0,1,2,3,12,16,100,4,64,54,1,53,136,0,39,29,85,21,4,0,64,160,154,25,0,7,8,16,10,13,0,27,14,6,0,5,178,0,1,0,0,10,18,0,0,45,123,42,2,0,5,38,31,43,1,0,1,3,0,0,2,0,2,0,5,2,0,5,20,34,133,0,1,0,0,2,1,0,0,0,0,2,88,2019,43
44,2,0,3,0,31,1,3056,0,3,40,199,1169,454,190,0,10,0,2,18,8,9,117,15,25,360,924,3402,164,1407,1037,122,3650,1067,1,1077,1396,6877,1545,257,1,601,2960,4322,578,2,162,97,224,145,150,0,547,154,45,99,330,1433,5,4,2,1,94,494,1,2,425,1931,1484,77,34,88,370,525,572,6,0,21,17,5,2,70,36,20,5,61,32,17,0,313,1214,2141,8,47,27,0,3,5,1,10,6,2,34,1440,2019,44
45,0,1,5,0,6,1,1618,2,0,31,126,818,330,55,0,1,0,5,7,4,5,23,12,13,138,270,1064,73,226,330,32,525,221,2,303,126,1045,421,43,2,323,922,1343,230,4,87,75,92,123,101,0,430,117,42,50,67,682,8,1,1,5,75,191,0,0,170,516,300,4,47,11,169,249,153,4,0,12,6,2,0,40,103,18,2,34,17,6,3,260,468,1524,3,59,37,1,9,3,0,2,6,2,33,793,2019,45
46,0,0,0,0,0,0,125,0,0,3,0,54,18,4,0,0,0,1,1,0,1,0,1,2,7,15,110,12,34,11,4,32,33,0,39,16,71,37,3,0,35,79,145,15,0,1,3,6,14,7,0,15,18,5,0,4,45,0,0,0,0,0,8,0,0,23,50,60,2,0,0,13,11,13,0,0,0,1,0,1,1,0,1,0,5,0,0,0,50,35,136,0,0,0,0,0,0,0,0,1,0,0,53,2019,46
