DepartementPrincipal,Règlements de compte entre malfaireurs,Homicides pour voler et à l'occasion de vols,Homicides pour d'autres motifs,Tentatives d'homicides pour voler et à l'occasion de vols,Tentatives homicides pour d'autres motifs,Coups et blessures volontaires suivis de mort,Autres coups et blessures volontaires criminels ou correctionnels,Prises d'otages à l'occasion de vols,Prises d'otages dans un autre but,Sequestrations,Menaces ou chantages pour extorsion de fonds,Menaces ou chantages dans un autre but,Atteintes à la dignité et à la  personnalité,Violations de domicile,Vols à main armée contre des établissements financiers,Vols à main armée contre des éts industriels ou commerciaux,Vols à main armée contre des entreprises de transports de fonds,Vols à main armée contre des particuliers à leur domicile,Autres vols à main armée,"Vols avec armes blanches contre des établissements financiers,commerciaux ou industriels",Vols avec armes blanches contre des particuliers à leur domicile,Autres vols avec armes blanches,"Vols violents sans arme contre des établissements financiers,commerciaux ou industriels",Vols violents sans arme contre des particuliers à leur domicile,Vols violents sans arme contre des femmes sur voie publique ou autre lieu public,Vols violents sans arme contre d'autres victimes,Cambriolages de locaux d'habitations principales,Cambriolages de résidences secondaires,"Camb.de  locaux industriels, commerciaux ou financiers",Cambriolages d'autres lieux,Vols avec entrée par ruse en tous lieux,Vols à la tire,Vols à l'étalage,Vols de véhicules de transport avec frêt,Vols d'automobiles,Vols de véhicules motorisés à 2 roues,Vols à la roulotte,Vols d''accessoires sur véhicules à moteur immatriculés,Vols simples sur chantier,Vols simples sur exploitations agricoles,Autres vols simples contre des établissements publics ou privés,Autres vols simples contre des particuliers dans  deslocaux privés,Autres vols simples contre des particuliers dans des locaux ou lieux publics,Recels,Proxénétisme,Viols sur des majeur(e)s,Viols sur des mineur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des majeur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des mineur(e)s,Atteintes sexuelles,Homicides commis contre enfants de moins de 15 ans,"Violences, mauvais traitements et abandons d'enfants.",Délits au sujet de la garde des mineurs,Non versement de pension alimentaire,Trafic et revente sans usage de stupéfiants,Usage-revente de stupéfiants,Usage de stupéfiants,Autres infractions à la législation sur les stupéfiants,Délits de débits de boissons et infraction à la règlementation sur l'alcool  et le tabac,Fraudes alimentaires et infractions à l'hygiène,Autres délits contre santé publique et la réglementation des professions médicales,Incendies volontaires de biens publics,Incendies volontaires de biens privés,Attentats à l'explosif contre des biens publics,Attentats à l'explosif contre des biens privés,Autres destructions er dégradations de biens publics,Autres destructions er dégradations de biens privés,Destructions et dégradations de véhicules privés,Infractions aux conditions générales d'entrée et de séjour des étrangers,"Aide à l'entrée, à la circulation et au séjour des étrangers",Autres infractions à la police des étrangers,Outrages à dépositaires autorité,Violences à dépositaires autorité,Port ou détention armes prohibées,Atteintes aux intérêts fondamentaux de la Nation,Délits des courses et des jeux,Délits interdiction de séjour et de paraître,"Destructions, cruautés et autres délits envers les animaux",Atteintes à l'environnement,Chasse et pêche,Faux documents d'identité,Faux documents concernant la circulation des véhicules,Autres faux documents administratifs,Faux en écriture publique et authentique,Autres faux en écriture,Fausse monnaie,Contrefaçons et fraudes industrielles et commerciales,Contrefaçons littéraires et artistique,Falsification et usages de chèques volés,Falsification et usages de cartes de crédit,Escroqueries et abus de confiance,Infractions à la législation sur les chèques,Travail clandestin,Emploi d'étranger sans titre de travail,Marchandage - prêt de main d'oeuvre,"Banqueroutes, abus de biens sociaux et autres délits de société","Prix illicittes, publicité fausse et infractions aux règles de la concurrence",Achats et ventes sans factures,Infractions à l'exercice d'une profession règlementée,Infractions au droit de l'urbanisme et de la construction,Fraudes fiscales,Autres délits économiques et financiers,Autres délits,Année,Departement
11,0,0,4,0,1,0,505,0,0,4,14,298,37,12,0,6,0,3,0,0,3,16,1,8,138,132,805,15,165,155,28,292,303,0,306,140,686,285,21,0,193,430,917,81,1,7,9,5,11,105,0,18,38,32,7,29,477,3,1,4,1,45,125,0,0,141,316,590,35,41,23,80,105,113,1,0,0,4,4,1,21,3,5,11,6,2,0,0,113,105,358,28,251,15,0,10,0,0,2,0,0,20,240,2013,11
12,0,0,0,0,1,0,210,0,0,3,24,73,33,18,0,5,0,1,0,1,1,8,2,3,23,38,152,13,82,73,11,50,101,0,55,46,222,154,13,0,75,273,122,12,0,4,5,6,13,14,1,39,11,6,2,29,332,1,1,0,0,11,32,0,0,57,96,124,0,0,2,37,41,81,0,0,1,9,3,0,1,11,1,0,6,7,0,0,136,28,153,15,8,1,0,1,0,1,0,2,0,0,124,2013,12
13,17,1,27,3,76,2,6909,0,2,126,309,4426,1364,215,4,355,4,66,143,17,34,677,21,46,4998,4446,10050,139,2200,3050,330,4734,1556,18,7576,4415,12966,5736,496,27,1490,4931,12997,1366,14,108,97,152,167,215,0,499,467,429,440,322,6692,99,58,16,8,95,1072,0,0,640,3930,4296,238,101,394,903,1278,1886,3,3,2,57,26,19,255,48,73,39,217,40,22,1,1799,2604,5140,84,309,101,2,17,2,3,17,180,24,1071,3615,2013,13
14,0,0,0,0,2,0,1092,1,0,8,44,427,186,53,0,7,0,1,5,6,3,25,6,10,212,243,765,75,274,346,36,502,793,0,397,267,827,612,57,0,549,832,1832,24,8,28,9,24,54,95,0,184,79,35,2,108,1007,6,1,0,0,34,275,0,0,205,1057,1466,12,55,7,215,194,186,1,0,0,6,1,0,100,63,17,2,65,2,0,0,352,213,787,28,21,30,10,2,1,1,1,1,1,2,494,2013,14
15,0,0,0,0,0,0,72,0,0,1,1,20,11,1,0,0,0,0,0,0,0,0,0,0,8,13,56,9,46,43,4,29,70,0,22,12,67,51,8,1,45,49,197,18,0,5,2,1,7,16,0,2,3,5,1,11,47,0,0,0,1,8,6,0,0,42,75,148,0,0,0,15,11,19,0,0,0,1,0,0,0,0,0,0,1,0,0,0,26,8,63,1,6,0,0,0,0,0,0,0,0,2,37,2013,15
16,0,0,2,0,1,1,442,0,0,2,23,143,30,14,0,4,0,0,2,0,1,4,1,1,22,59,332,1,95,67,23,142,154,0,158,168,435,249,60,0,134,227,885,41,0,18,12,6,23,15,0,25,60,15,5,10,184,31,0,1,0,3,40,0,0,143,383,993,20,0,1,83,49,90,0,0,0,5,2,0,2,6,5,1,6,4,0,0,289,98,357,8,12,0,0,2,1,0,1,0,0,4,144,2013,16
17,0,0,1,0,3,0,778,0,0,9,31,299,88,29,0,5,0,2,1,3,0,21,3,11,120,141,695,90,196,254,40,206,403,0,343,395,994,661,54,0,461,1166,1845,99,1,27,29,22,55,54,1,77,129,50,16,69,823,9,2,0,0,24,89,0,0,276,889,1390,9,2,6,83,118,288,1,0,0,5,3,3,4,2,5,1,33,5,10,0,309,248,799,51,17,1,0,0,0,0,2,5,0,11,343,2013,17
18,0,0,0,0,2,0,388,0,0,4,9,157,99,9,0,3,0,3,0,4,1,8,2,3,38,83,565,17,195,213,14,84,217,0,149,120,262,411,19,2,160,378,512,43,0,3,7,17,26,13,0,40,28,13,2,18,120,2,0,0,1,17,99,0,0,105,375,401,13,1,0,26,40,42,0,0,0,6,1,1,7,4,9,3,6,4,0,0,60,115,295,10,6,4,0,0,0,0,0,4,3,2,162,2013,18
19,0,0,0,0,0,0,331,0,0,2,13,144,45,24,0,1,0,0,1,1,0,1,0,1,35,42,164,11,110,72,20,89,136,0,67,91,271,143,11,0,108,253,508,33,0,8,9,7,1,21,0,26,18,10,0,7,120,2,1,0,0,3,19,0,0,47,201,248,6,0,0,45,37,42,1,0,0,8,1,0,2,3,1,0,3,0,0,0,77,59,350,2,6,1,0,3,1,0,0,0,0,0,123,2013,19
21,0,2,3,0,4,0,615,0,0,6,22,412,286,18,0,5,0,1,4,6,1,16,6,7,107,115,711,5,159,261,41,253,465,0,241,272,641,357,33,1,351,826,1652,151,4,17,16,1,29,39,0,75,111,62,18,71,468,6,1,2,2,7,198,0,0,161,874,753,10,44,2,97,122,192,0,0,2,6,2,0,28,22,22,25,44,6,2,0,186,230,818,15,26,10,0,23,3,1,6,15,3,7,319,2013,21
22,0,0,0,0,1,1,334,0,0,3,10,122,39,8,0,4,0,0,0,0,0,6,4,1,48,75,202,9,101,79,27,91,247,0,74,106,300,140,22,0,32,234,580,50,0,7,7,3,21,20,0,42,16,10,4,56,313,2,2,0,0,12,22,0,0,110,338,512,8,1,5,88,83,75,0,0,6,0,1,3,10,1,20,1,14,0,1,0,178,55,270,11,5,1,0,0,0,1,0,0,0,1,157,2013,22
23,0,0,0,0,0,0,57,0,0,0,4,25,7,0,0,0,0,0,1,1,0,0,1,0,4,3,44,0,0,15,0,7,47,0,10,14,20,30,3,0,22,41,66,7,0,0,0,3,0,0,0,7,5,2,0,3,12,0,0,0,0,6,2,0,0,13,31,50,6,0,0,6,7,14,0,0,0,0,0,0,1,0,0,0,1,1,0,0,58,4,49,0,1,0,0,0,0,0,0,0,0,0,34,2013,23
24,0,0,0,0,2,1,251,0,0,0,9,84,38,4,0,7,0,3,1,2,1,6,1,1,15,28,259,13,84,101,13,104,352,1,104,133,288,181,24,4,117,139,373,39,0,5,5,7,16,9,0,31,24,37,9,22,220,0,0,0,0,4,24,0,0,57,191,328,2,1,1,46,37,78,1,0,0,7,0,0,1,2,0,3,11,2,0,1,120,58,242,20,4,0,0,0,0,1,0,2,0,0,95,2013,24
25,0,0,3,1,4,0,889,0,0,12,33,393,166,66,0,11,0,1,4,5,2,20,4,8,70,138,739,19,209,438,20,253,496,0,388,187,818,407,47,1,358,892,1396,44,0,14,18,13,53,16,0,203,109,58,19,84,578,8,0,2,0,60,224,1,1,277,774,983,286,30,1,162,162,186,1,0,1,5,0,0,32,22,15,5,17,11,4,2,320,130,721,185,37,9,1,18,2,1,3,1,1,11,345,2013,25
26,0,0,2,0,2,0,848,0,0,10,33,503,108,34,1,10,0,3,9,10,2,36,4,4,200,261,1350,14,296,319,37,77,282,1,631,431,1085,678,40,1,239,891,1282,174,1,12,23,27,15,13,0,141,96,30,16,23,731,11,1,0,0,27,261,0,6,196,579,515,27,0,1,147,187,267,1,0,2,3,1,0,2,6,11,9,22,2,1,0,392,212,617,6,7,1,0,0,0,0,1,1,0,5,361,2013,26
27,0,0,3,0,4,0,840,0,0,7,40,225,129,18,0,9,0,2,3,6,3,15,0,4,115,128,481,4,155,118,9,64,234,0,348,138,528,403,20,0,134,583,480,72,1,19,21,21,32,32,0,41,54,38,9,50,571,45,0,0,0,22,118,0,0,87,279,417,23,1,0,97,166,102,1,0,0,5,0,0,3,5,7,15,13,3,0,0,134,107,644,118,7,0,0,2,1,0,1,0,1,6,369,2013,27
28,0,0,1,0,2,0,551,0,0,6,18,204,85,10,0,9,0,0,3,4,5,15,3,8,91,109,508,9,101,138,9,159,173,0,289,109,590,258,24,1,223,471,686,27,0,14,17,21,38,32,0,122,33,20,43,65,542,2,1,0,1,26,93,0,0,152,308,466,28,2,1,112,155,81,0,1,0,2,1,0,7,5,10,3,14,3,2,0,117,91,560,2,15,2,0,5,0,0,2,0,3,18,262,2013,28
29,0,0,2,0,4,0,1619,0,0,7,50,427,159,41,0,10,0,4,6,7,6,25,3,10,153,265,680,11,308,291,20,198,649,0,333,235,939,524,27,1,362,771,1949,102,2,31,17,41,17,81,0,130,135,68,25,55,618,5,3,0,0,47,243,0,0,373,1440,1806,14,1,1,148,187,203,0,0,0,8,2,0,6,3,5,10,9,6,0,0,429,211,978,37,25,1,0,3,1,0,0,0,2,3,457,2013,29
2A,5,0,1,0,4,0,137,2,0,7,17,169,35,9,4,4,1,3,1,0,0,2,0,0,14,14,53,10,26,42,12,103,14,0,73,159,137,107,3,0,28,121,365,33,1,3,3,2,7,12,0,0,24,19,10,17,210,2,1,3,1,3,42,1,8,26,141,482,2,49,0,28,31,95,0,0,0,3,3,0,11,1,5,1,10,1,1,0,24,31,207,6,19,35,19,6,1,0,3,1,4,4,164,2013,2A
2B,0,0,1,0,1,0,152,0,0,2,8,120,35,10,0,5,0,1,1,9,1,1,0,0,36,27,114,1,112,42,1,33,25,0,128,103,232,128,3,0,38,29,414,0,0,5,1,3,4,5,0,10,39,19,7,2,121,1,0,0,0,2,52,0,0,40,62,160,14,14,17,24,23,59,0,0,0,3,0,1,2,1,12,2,6,2,1,0,49,9,166,4,10,13,0,0,1,0,1,0,0,0,94,2013,2B
30,0,0,2,0,3,2,1165,0,1,5,62,526,197,32,0,13,0,5,17,3,11,93,1,16,550,465,1432,46,191,346,39,212,269,0,803,318,1384,762,44,0,419,1323,1672,154,2,19,17,16,14,10,0,78,80,33,13,57,600,11,15,0,1,17,290,0,0,169,833,1123,11,43,6,209,211,230,0,0,0,9,0,1,58,8,31,3,26,9,1,0,242,243,942,120,57,37,3,2,0,3,0,1,0,12,574,2013,30
31,0,0,8,1,19,0,2484,0,0,33,176,1228,457,96,2,54,0,7,11,30,13,186,20,13,1154,1298,4363,78,806,663,87,2325,1234,0,1173,748,5737,1916,162,0,2310,100,7381,509,18,88,44,107,60,94,1,266,141,83,69,139,2596,7,2,0,3,30,500,0,0,576,1610,1212,6,140,143,245,433,741,2,1,0,13,9,0,70,59,78,24,103,19,5,0,384,1159,2246,118,65,47,0,35,1,5,8,2,16,228,1228,2013,31
32,0,0,0,0,3,0,77,0,0,2,6,28,15,4,0,10,0,1,0,0,1,1,0,0,12,14,73,14,29,63,1,17,86,0,34,64,185,81,11,0,49,82,181,10,0,0,0,7,12,4,0,8,10,6,1,0,35,0,0,0,0,2,13,0,0,12,71,66,0,0,2,15,13,28,0,0,0,0,0,0,0,0,0,1,4,2,0,0,23,34,82,5,3,0,0,0,1,0,0,0,0,1,50,2013,32
33,0,0,8,0,4,0,2694,0,0,16,123,1144,312,119,3,25,0,4,1,7,10,60,2,9,778,945,2515,42,700,354,66,1364,1918,0,1297,788,3408,1863,129,0,1275,193,7584,421,15,58,37,77,70,462,0,209,174,77,68,204,2785,7,49,0,16,58,234,1,0,755,2735,2798,79,49,70,338,301,625,0,0,0,19,12,1,66,51,38,15,109,17,6,3,651,280,2390,186,119,72,1,12,10,3,5,28,6,208,1202,2013,33
34,0,0,14,6,32,4,2192,0,0,35,88,986,309,99,1,54,1,15,25,10,9,239,16,16,1363,1328,3398,185,517,733,101,1660,574,1,1273,1013,4555,1418,148,2,239,2748,4503,394,10,51,32,73,45,116,0,90,351,118,91,189,1835,113,13,3,5,52,175,1,0,329,1738,1652,35,88,24,263,338,556,1,1,0,23,15,0,62,40,60,32,50,17,6,0,375,563,1792,89,138,77,14,38,3,0,6,22,11,60,1019,2013,34
35,1,1,2,2,5,1,1407,0,0,16,30,510,98,40,4,11,0,0,3,3,3,16,5,5,191,278,769,27,406,448,49,441,547,0,255,338,1183,497,91,0,461,1723,2417,147,2,31,27,72,6,79,0,95,88,35,74,106,820,3,0,1,2,30,101,0,0,294,1532,1630,12,52,14,232,212,280,1,0,1,10,2,1,40,48,31,1,26,7,1,0,774,392,835,89,56,48,1,15,0,0,1,1,0,25,528,2013,35
36,0,0,0,0,0,0,218,0,0,2,9,97,44,5,0,1,1,0,0,2,0,2,0,0,24,49,170,5,87,66,5,65,156,0,105,95,192,169,6,0,136,297,201,42,0,4,7,2,15,9,0,30,6,5,2,32,167,1,0,0,0,11,56,0,0,56,173,161,6,0,6,17,23,52,1,0,1,3,1,0,3,4,3,1,4,2,4,0,132,35,145,2,3,0,0,0,0,0,0,1,0,2,98,2013,36
37,0,0,0,0,0,0,723,0,0,10,53,249,125,17,0,14,0,1,7,4,1,18,4,11,230,234,936,5,215,318,80,406,378,2,279,326,880,518,24,0,350,689,2034,118,0,0,13,34,31,37,0,118,35,17,7,104,736,1,3,0,0,45,197,0,0,129,653,1041,3,0,1,136,152,107,2,0,2,2,1,1,19,11,5,23,9,8,3,2,188,132,668,24,7,1,0,11,1,0,1,2,1,6,265,2013,37
38,0,0,6,0,12,1,1638,0,0,19,86,733,177,18,2,43,0,7,35,5,7,162,10,14,279,368,2087,12,487,958,84,1124,565,0,957,602,2361,1496,42,1,454,1473,3184,304,4,38,42,45,32,59,1,211,129,73,32,62,918,1,10,2,0,53,735,0,0,292,1268,1476,29,11,4,318,278,551,2,0,0,3,0,0,36,42,5,48,77,12,13,0,565,574,1141,46,63,17,0,21,0,0,1,3,6,19,476,2013,38
39,0,0,0,0,0,0,185,0,0,2,9,76,51,8,0,1,0,0,0,0,1,2,2,1,22,23,167,9,54,59,5,34,122,0,84,61,158,128,10,0,65,166,329,28,0,8,3,1,2,7,0,14,8,5,1,20,195,3,0,0,0,5,27,0,0,43,119,100,1,1,1,45,43,113,2,0,4,4,0,0,3,3,1,2,5,2,0,0,272,47,204,0,8,2,0,2,0,0,2,0,0,2,129,2013,39
40,0,0,0,0,1,0,359,0,0,0,6,119,56,16,1,5,0,0,0,2,1,2,2,2,36,37,215,7,56,82,20,82,105,0,74,87,281,126,17,1,119,363,265,101,0,2,4,14,10,15,0,8,19,14,13,29,206,10,1,3,0,15,29,0,0,66,182,229,5,0,3,60,57,58,0,0,0,1,1,0,3,4,10,3,9,1,0,0,60,69,273,2,3,1,0,2,0,0,3,0,0,3,122,2013,40
41,0,0,1,0,3,0,374,0,0,6,14,222,86,11,0,7,0,0,3,2,1,9,0,3,38,61,363,11,142,161,23,178,98,0,250,142,485,255,14,2,145,315,542,43,0,18,13,17,19,18,0,29,13,23,4,43,316,1,0,0,1,12,45,0,0,77,189,349,2,0,2,56,74,74,1,0,0,8,1,0,4,4,5,1,39,0,2,0,73,87,400,13,5,2,0,6,0,0,0,1,0,1,210,2013,41
42,0,0,7,3,12,0,1563,0,0,19,61,765,215,68,4,25,0,7,5,24,4,38,20,8,339,309,1723,14,492,491,44,356,1073,0,855,258,1484,1136,68,7,631,991,2278,236,2,25,45,36,74,66,0,137,138,81,20,92,1055,21,18,3,0,42,649,0,1,290,1643,1863,11,2,14,337,287,170,2,0,2,17,5,1,11,11,14,4,58,6,13,1,334,296,1334,171,49,7,0,15,2,1,3,0,1,41,751,2013,42
43,0,0,1,0,0,0,152,0,0,4,4,79,33,5,0,0,0,0,0,1,2,0,1,1,19,11,109,0,47,55,4,30,80,0,54,40,85,66,9,0,65,95,148,13,0,4,6,13,11,10,0,21,12,6,3,2,86,1,1,0,1,3,25,0,0,46,156,72,3,0,0,24,23,28,0,0,1,4,3,0,0,0,0,2,4,1,0,0,28,23,98,10,1,0,0,0,0,0,0,2,1,0,70,2013,43
44,0,0,8,1,13,0,2466,0,0,22,57,935,342,44,2,33,0,6,11,16,5,119,11,8,250,482,2471,102,1050,1191,92,3405,1361,0,1334,1357,3956,2476,208,0,1084,2726,872,73,7,48,64,108,110,123,1,293,158,62,47,114,1606,15,8,6,0,71,458,0,0,604,3021,2538,79,37,129,244,489,724,1,0,0,7,9,0,86,39,26,10,74,6,10,2,497,164,1700,49,72,33,0,2,2,0,1,6,2,17,984,2013,44
45,0,0,9,0,6,2,1331,0,0,31,70,698,209,55,5,30,1,6,13,12,9,40,2,0,238,300,1326,88,389,267,29,374,317,0,675,227,1249,741,75,0,45,845,1966,198,3,36,30,55,88,45,1,214,121,78,51,84,1238,2,0,7,0,12,200,0,0,146,589,632,12,11,6,211,285,188,3,0,2,9,7,1,25,51,35,6,44,31,1,1,428,251,1263,3,36,11,0,32,0,0,4,12,8,19,593,2013,45
46,0,1,0,0,0,0,109,0,0,0,5,35,14,3,0,0,0,0,1,0,0,3,1,2,18,16,56,7,38,46,4,26,56,0,64,31,98,60,5,0,30,144,172,18,0,4,0,0,0,0,0,10,10,3,1,3,43,0,0,0,0,4,8,0,0,27,46,57,3,0,1,7,14,18,0,0,0,0,0,0,0,1,1,0,3,0,0,0,67,20,94,4,2,0,0,0,0,0,0,0,0,1,34,2013,46
