DepartementPrincipal,Règlements de compte entre malfaireurs,Homicides pour voler et à l'occasion de vols,Homicides pour d'autres motifs,Tentatives d'homicides pour voler et à l'occasion de vols,Tentatives homicides pour d'autres motifs,Coups et blessures volontaires suivis de mort,Autres coups et blessures volontaires criminels ou correctionnels,Prises d'otages à l'occasion de vols,Prises d'otages dans un autre but,Sequestrations,Menaces ou chantages pour extorsion de fonds,Menaces ou chantages dans un autre but,Atteintes à la dignité et à la  personnalité,Violations de domicile,Vols à main armée contre des établissements financiers,Vols à main armée contre des éts industriels ou commerciaux,Vols à main armée contre des entreprises de transports de fonds,Vols à main armée contre des particuliers à leur domicile,Autres vols à main armée,"Vols avec armes blanches contre des établissements financiers,commerciaux ou industriels",Vols avec armes blanches contre des particuliers à leur domicile,Autres vols avec armes blanches,"Vols violents sans arme contre des établissements financiers,commerciaux ou industriels",Vols violents sans arme contre des particuliers à leur domicile,Vols violents sans arme contre des femmes sur voie publique ou autre lieu public,Vols violents sans arme contre d'autres victimes,Cambriolages de locaux d'habitations principales,Cambriolages de résidences secondaires,"Camb.de  locaux industriels, commerciaux ou financiers",Cambriolages d'autres lieux,Vols avec entrée par ruse en tous lieux,Vols à la tire,Vols à l'étalage,Vols de véhicules de transport avec frêt,Vols d'automobiles,Vols de véhicules motorisés à 2 roues,Vols à la roulotte,Vols d''accessoires sur véhicules à moteur immatriculés,Vols simples sur chantier,Vols simples sur exploitations agricoles,Autres vols simples contre des établissements publics ou privés,Autres vols simples contre des particuliers dans  deslocaux privés,Autres vols simples contre des particuliers dans des locaux ou lieux publics,Recels,Proxénétisme,Viols sur des majeur(e)s,Viols sur des mineur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des majeur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des mineur(e)s,Atteintes sexuelles,Homicides commis contre enfants de moins de 15 ans,"Violences, mauvais traitements et abandons d'enfants.",Délits au sujet de la garde des mineurs,Non versement de pension alimentaire,Trafic et revente sans usage de stupéfiants,Usage-revente de stupéfiants,Usage de stupéfiants,Autres infractions à la législation sur les stupéfiants,Délits de débits de boissons et infraction à la règlementation sur l'alcool  et le tabac,Fraudes alimentaires et infractions à l'hygiène,Autres délits contre santé publique et la réglementation des professions médicales,Incendies volontaires de biens publics,Incendies volontaires de biens privés,Attentats à l'explosif contre des biens publics,Attentats à l'explosif contre des biens privés,Autres destructions er dégradations de biens publics,Autres destructions er dégradations de biens privés,Destructions et dégradations de véhicules privés,Infractions aux conditions générales d'entrée et de séjour des étrangers,"Aide à l'entrée, à la circulation et au séjour des étrangers",Autres infractions à la police des étrangers,Outrages à dépositaires autorité,Violences à dépositaires autorité,Port ou détention armes prohibées,Atteintes aux intérêts fondamentaux de la Nation,Délits des courses et des jeux,Délits interdiction de séjour et de paraître,"Destructions, cruautés et autres délits envers les animaux",Atteintes à l'environnement,Chasse et pêche,Faux documents d'identité,Faux documents concernant la circulation des véhicules,Autres faux documents administratifs,Faux en écriture publique et authentique,Autres faux en écriture,Fausse monnaie,Contrefaçons et fraudes industrielles et commerciales,Contrefaçons littéraires et artistique,Falsification et usages de chèques volés,Falsification et usages de cartes de crédit,Escroqueries et abus de confiance,Infractions à la législation sur les chèques,Travail clandestin,Emploi d'étranger sans titre de travail,Marchandage - prêt de main d'oeuvre,"Banqueroutes, abus de biens sociaux et autres délits de société","Prix illicittes, publicité fausse et infractions aux règles de la concurrence",Achats et ventes sans factures,Infractions à l'exercice d'une profession règlementée,Infractions au droit de l'urbanisme et de la construction,Fraudes fiscales,Autres délits économiques et financiers,Autres délits,Année,Departement
11,0,0,1,0,1,0,521,0,0,7,22,228,42,14,1,7,0,5,3,5,2,15,0,5,133,128,689,9,165,117,28,273,274,0,360,173,691,277,16,0,77,215,106,80,0,4,14,8,4,27,0,12,57,45,1,40,406,1,0,0,0,22,92,0,0,120,457,628,287,36,12,91,93,176,1,0,0,5,3,1,20,5,9,4,12,7,7,0,178,96,311,20,128,5,0,15,0,2,2,4,1,20,190,2012,11
12,0,0,0,0,0,2,195,0,0,3,3,96,14,8,0,5,0,0,2,2,0,1,0,1,16,13,180,4,92,63,10,45,113,1,58,92,164,99,14,0,23,416,189,25,11,3,3,3,6,23,0,6,29,15,1,18,230,2,1,0,0,6,35,0,0,50,40,102,18,1,0,41,29,85,0,0,0,3,3,0,2,13,1,0,9,5,0,0,134,34,136,11,31,0,0,1,0,0,1,0,0,3,98,2012,12
13,24,2,23,3,97,5,7259,1,1,141,357,4587,1314,264,11,311,8,53,209,33,27,627,22,34,6740,5123,10955,151,2076,2797,234,5176,1587,16,6912,4907,14356,6154,374,20,1228,3308,12142,1225,19,127,137,160,182,299,0,482,471,430,358,235,5168,123,52,22,17,130,1097,1,1,661,4770,4288,2770,159,256,914,1323,1643,3,8,1,47,25,8,309,44,67,37,260,35,43,1,1999,2733,4818,127,411,115,4,35,5,2,17,98,16,747,3824,2012,13
14,0,0,0,0,2,2,1203,0,0,8,36,327,235,33,0,12,0,1,0,7,3,16,3,4,201,244,771,90,310,341,43,467,875,0,439,273,803,690,87,0,553,802,1836,105,1,23,30,37,74,57,0,182,149,60,5,133,909,7,4,0,1,34,288,1,0,169,1117,1425,108,66,19,215,199,175,0,1,0,6,1,1,84,27,22,6,39,1,2,0,225,101,906,34,50,26,18,1,2,11,1,5,2,6,479,2012,14
15,0,0,0,0,0,0,97,0,0,0,2,26,1,3,0,0,0,0,0,3,0,0,0,0,7,3,24,1,40,19,2,23,68,0,13,9,66,33,5,0,52,42,226,14,0,1,1,5,4,5,0,0,7,5,3,11,54,0,0,0,0,9,15,0,0,48,87,135,9,0,0,11,9,11,0,0,1,2,1,0,1,1,0,1,0,2,0,0,43,8,84,11,1,0,0,0,0,0,0,2,0,0,42,2012,15
16,0,0,3,0,0,0,437,0,1,8,8,171,21,10,1,6,0,0,1,1,3,9,1,5,29,62,373,1,78,71,16,154,134,0,180,136,461,201,46,0,191,326,742,103,0,14,19,20,32,25,0,46,44,10,10,17,187,6,0,1,0,4,47,0,0,76,313,930,35,0,0,79,65,65,0,0,1,3,2,0,2,2,7,0,6,4,0,1,332,56,271,8,13,0,0,0,1,0,5,0,2,2,136,2012,16
17,0,0,1,0,5,0,731,0,0,15,23,301,99,19,0,12,0,2,4,5,1,23,4,3,83,118,659,89,269,249,26,177,367,0,390,392,1180,736,47,2,180,1063,1992,119,0,7,19,25,35,39,1,86,117,50,13,57,553,7,3,1,1,44,104,0,0,242,842,1314,42,0,2,86,91,214,2,0,0,14,2,1,5,4,7,2,40,4,2,0,761,196,588,147,24,0,0,2,1,0,3,3,0,3,321,2012,17
18,0,0,1,0,5,0,399,0,0,1,15,233,116,16,0,3,0,0,1,1,1,12,1,4,29,65,397,10,158,169,14,93,274,1,171,138,266,399,32,1,143,223,518,41,0,7,6,7,14,5,0,47,11,10,4,29,168,0,2,2,1,18,139,0,0,88,353,460,37,1,10,32,31,59,2,0,0,7,0,0,1,0,4,2,4,3,2,0,69,55,195,19,8,2,0,2,0,0,0,3,2,3,171,2012,18
19,0,0,0,0,1,0,259,0,0,2,10,73,21,7,1,4,0,1,0,0,2,1,0,0,4,23,124,9,94,37,13,42,117,0,62,82,258,116,6,0,105,239,303,56,0,3,3,3,5,25,0,9,13,4,0,19,139,2,1,0,0,13,22,0,0,81,256,437,16,0,0,45,36,42,1,0,0,5,2,0,0,2,2,0,5,4,0,0,60,48,174,0,4,0,0,1,1,0,0,0,0,2,61,2012,19
21,0,0,9,0,5,1,596,0,0,6,23,319,204,16,7,7,1,4,0,8,1,17,4,6,94,126,603,2,174,369,33,229,409,0,281,314,656,327,26,0,407,767,177,141,31,16,18,19,33,11,0,87,95,52,25,69,605,22,1,0,0,16,186,0,0,195,899,938,82,70,3,101,120,284,1,0,2,2,4,0,21,23,12,7,33,5,2,1,192,191,696,13,54,20,0,16,2,1,6,4,4,9,220,2012,21
22,0,0,3,0,2,1,375,0,0,2,5,124,40,23,0,4,0,0,3,2,0,4,5,4,30,64,200,6,110,85,43,61,236,0,82,112,301,185,11,0,129,158,651,15,0,8,5,1,16,19,0,47,22,17,4,74,339,5,3,0,0,15,39,0,0,115,396,657,19,0,1,71,80,76,0,0,4,3,1,1,4,3,21,2,8,1,1,0,131,60,203,2,7,0,0,1,0,0,4,0,1,0,151,2012,22
23,0,0,0,0,0,0,33,0,0,0,0,19,6,0,0,0,0,0,1,0,0,0,0,0,3,6,28,2,16,7,3,5,48,0,11,21,28,24,2,0,20,23,24,4,0,0,1,0,2,1,0,3,3,0,0,4,9,1,0,0,0,1,0,0,0,8,10,33,2,0,0,3,4,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,6,6,26,0,2,0,0,0,0,0,0,0,0,0,15,2012,23
24,0,0,2,0,0,1,235,0,0,2,5,49,17,3,0,1,0,0,0,3,1,7,1,1,13,10,245,8,35,75,19,130,348,2,122,156,261,148,17,0,133,371,293,15,0,5,5,1,8,22,0,12,29,30,8,18,188,5,1,0,0,4,37,0,1,51,165,330,6,1,0,53,41,67,0,0,0,4,0,0,0,1,3,4,11,6,1,1,128,47,259,44,29,0,0,4,1,0,0,0,19,1,54,2012,24
25,1,0,2,0,7,0,831,0,0,13,37,350,111,45,1,29,0,0,9,7,2,21,2,4,44,99,658,9,220,401,21,301,547,0,336,211,662,345,55,0,367,833,1160,158,0,11,21,26,32,43,1,144,159,55,29,91,619,9,3,2,0,46,226,0,0,214,660,883,556,37,2,141,167,177,1,1,0,4,1,1,26,24,11,2,23,5,7,1,500,138,538,45,39,11,0,17,1,3,3,0,1,13,389,2012,25
26,0,0,2,0,4,0,893,0,0,18,48,544,148,33,0,30,1,2,13,4,5,36,4,5,210,247,1251,11,361,300,37,122,391,2,708,611,942,563,43,1,311,403,618,172,1,22,18,26,37,51,0,106,116,31,16,69,702,20,1,0,0,26,314,0,1,125,541,480,230,6,1,176,144,192,0,1,0,6,1,0,1,4,8,12,20,9,0,1,325,196,640,7,21,5,0,3,0,0,4,3,1,7,355,2012,26
27,0,0,2,0,1,0,787,0,0,8,61,207,85,16,0,5,1,0,1,2,1,13,0,1,94,164,359,7,106,172,5,92,161,0,318,144,617,330,21,0,244,574,627,71,1,11,19,7,14,33,0,45,96,49,6,60,628,56,0,0,0,20,124,0,0,115,357,616,117,1,0,121,132,117,1,0,0,2,0,0,5,4,15,1,16,6,2,1,182,91,631,174,10,1,0,1,1,0,0,1,0,30,331,2012,27
28,0,0,0,0,3,0,626,0,0,7,22,262,89,12,0,6,0,2,4,6,1,22,7,1,127,126,552,4,81,185,9,174,187,2,265,151,552,304,30,1,48,402,144,61,0,1,17,16,44,18,0,143,40,23,21,46,560,1,2,1,0,19,101,0,0,141,327,698,75,1,1,124,134,76,0,0,0,3,4,0,5,8,9,0,19,2,1,0,145,115,527,19,8,2,0,2,0,0,2,1,0,23,243,2012,28
29,0,0,1,0,3,0,1493,0,0,17,49,403,144,30,1,28,0,1,12,1,3,29,5,7,118,263,652,21,313,298,26,178,749,0,342,341,1149,560,37,1,335,650,2029,105,1,37,19,44,48,85,0,110,140,59,21,99,719,0,3,1,0,49,309,0,0,352,1326,1802,58,2,4,159,182,233,1,0,0,3,2,0,8,4,7,10,5,2,1,0,480,191,767,81,25,0,0,0,0,0,1,0,2,4,479,2012,29
2A,13,0,1,0,6,0,192,1,0,4,11,97,28,16,2,12,0,4,5,0,0,1,0,1,51,32,64,7,22,34,7,61,23,0,75,212,132,82,3,0,32,106,313,37,0,6,10,5,5,13,0,5,28,19,12,10,161,0,0,1,2,4,46,2,61,17,146,559,166,48,11,30,27,72,0,4,0,6,2,0,21,0,7,37,7,0,0,0,71,34,188,12,27,31,0,5,5,0,1,1,6,6,169,2012,2A
2B,0,0,0,0,2,0,199,0,0,1,3,148,31,5,0,3,0,0,0,1,1,2,0,1,27,15,123,1,65,57,0,18,34,0,128,104,204,93,5,0,39,18,441,10,0,5,3,0,3,6,0,3,36,23,0,1,125,1,2,1,0,2,42,0,0,20,68,138,225,23,6,24,17,44,0,2,0,6,1,0,18,1,13,4,2,0,0,0,57,5,144,2,10,16,0,1,0,0,0,0,0,1,95,2012,2B
30,1,0,3,0,5,1,1053,0,0,9,47,453,82,31,0,29,0,5,21,5,5,85,0,30,58,434,1755,31,255,366,35,241,278,0,1010,365,1889,985,52,0,253,1263,153,192,2,2,27,22,45,54,0,74,89,31,13,53,491,11,10,0,0,27,378,1,0,200,780,1157,556,34,6,219,200,207,0,1,0,10,1,0,61,15,30,6,15,3,0,1,459,305,738,55,46,47,5,1,0,8,1,1,1,11,493,2012,30
