DepartementPrincipal,Règlements de compte entre malfaireurs,Homicides pour voler et à l'occasion de vols,Homicides pour d'autres motifs,Tentatives d'homicides pour voler et à l'occasion de vols,Tentatives homicides pour d'autres motifs,Coups et blessures volontaires suivis de mort,Autres coups et blessures volontaires criminels ou correctionnels,Prises d'otages à l'occasion de vols,Prises d'otages dans un autre but,Sequestrations,Menaces ou chantages pour extorsion de fonds,Menaces ou chantages dans un autre but,Atteintes à la dignité et à la  personnalité,Violations de domicile,Vols à main armée contre des établissements financiers,Vols à main armée contre des éts industriels ou commerciaux,Vols à main armée contre des entreprises de transports de fonds,Vols à main armée contre des particuliers à leur domicile,Autres vols à main armée,"Vols avec armes blanches contre des établissements financiers,commerciaux ou industriels",Vols avec armes blanches contre des particuliers à leur domicile,Autres vols avec armes blanches,"Vols violents sans arme contre des établissements financiers,commerciaux ou industriels",Vols violents sans arme contre des particuliers à leur domicile,Vols violents sans arme contre des femmes sur voie publique ou autre lieu public,Vols violents sans arme contre d'autres victimes,Cambriolages de locaux d'habitations principales,Cambriolages de résidences secondaires,"Camb.de  locaux industriels, commerciaux ou financiers",Cambriolages d'autres lieux,Vols avec entrée par ruse en tous lieux,Vols à la tire,Vols à l'étalage,Vols de véhicules de transport avec frêt,Vols d'automobiles,Vols de véhicules motorisés à 2 roues,Vols à la roulotte,Vols d''accessoires sur véhicules à moteur immatriculés,Vols simples sur chantier,Vols simples sur exploitations agricoles,Autres vols simples contre des établissements publics ou privés,Autres vols simples contre des particuliers dans  deslocaux privés,Autres vols simples contre des particuliers dans des locaux ou lieux publics,Recels,Proxénétisme,Viols sur des majeur(e)s,Viols sur des mineur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des majeur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des mineur(e)s,Atteintes sexuelles,Homicides commis contre enfants de moins de 15 ans,"Violences, mauvais traitements et abandons d'enfants.",Délits au sujet de la garde des mineurs,Non versement de pension alimentaire,Trafic et revente sans usage de stupéfiants,Usage-revente de stupéfiants,Usage de stupéfiants,Autres infractions à la législation sur les stupéfiants,Délits de débits de boissons et infraction à la règlementation sur l'alcool  et le tabac,Fraudes alimentaires et infractions à l'hygiène,Autres délits contre santé publique et la réglementation des professions médicales,Incendies volontaires de biens publics,Incendies volontaires de biens privés,Attentats à l'explosif contre des biens publics,Attentats à l'explosif contre des biens privés,Autres destructions er dégradations de biens publics,Autres destructions er dégradations de biens privés,Destructions et dégradations de véhicules privés,Infractions aux conditions générales d'entrée et de séjour des étrangers,"Aide à l'entrée, à la circulation et au séjour des étrangers",Autres infractions à la police des étrangers,Outrages à dépositaires autorité,Violences à dépositaires autorité,Port ou détention armes prohibées,Atteintes aux intérêts fondamentaux de la Nation,Délits des courses et des jeux,Délits interdiction de séjour et de paraître,"Destructions, cruautés et autres délits envers les animaux",Atteintes à l'environnement,Chasse et pêche,Faux documents d'identité,Faux documents concernant la circulation des véhicules,Autres faux documents administratifs,Faux en écriture publique et authentique,Autres faux en écriture,Fausse monnaie,Contrefaçons et fraudes industrielles et commerciales,Contrefaçons littéraires et artistique,Falsification et usages de chèques volés,Falsification et usages de cartes de crédit,Escroqueries et abus de confiance,Infractions à la législation sur les chèques,Travail clandestin,Emploi d'étranger sans titre de travail,Marchandage - prêt de main d'oeuvre,"Banqueroutes, abus de biens sociaux et autres délits de société","Prix illicittes, publicité fausse et infractions aux règles de la concurrence",Achats et ventes sans factures,Infractions à l'exercice d'une profession règlementée,Infractions au droit de l'urbanisme et de la construction,Fraudes fiscales,Autres délits économiques et financiers,Autres délits,Année,Departement
11,0,0,0,0,15,0,594,0,1,11,22,288,84,35,0,3,0,0,3,5,1,9,1,8,27,26,489,36,167,78,16,208,122,0,174,76,445,126,16,2,183,318,334,35,0,21,29,12,33,38,0,101,19,7,6,25,320,2,8,2,15,45,101,0,0,84,201,154,8,11,2,79,94,70,0,0,5,2,1,0,15,8,6,0,16,3,0,0,82,166,467,2,22,3,0,0,4,0,3,2,0,4,219,2020,11
12,0,0,1,0,1,1,326,0,0,0,9,169,53,12,0,0,0,0,0,0,1,0,0,2,11,9,114,18,53,35,7,43,101,0,40,33,119,29,8,2,51,171,196,19,0,7,24,16,26,19,0,74,31,5,12,23,295,1,0,0,10,16,19,0,0,51,104,61,0,0,2,49,44,70,0,0,1,4,1,0,1,3,1,0,13,1,1,0,18,42,271,20,1,0,0,3,1,0,0,0,0,3,118,2020,12
13,12,0,30,2,169,7,9673,2,8,191,643,4671,1217,523,4,75,0,26,88,16,29,385,15,64,1544,1822,7764,492,1637,2418,139,4673,1064,7,5101,3028,9795,4070,379,19,971,4674,8502,1206,17,348,235,343,300,324,2,1297,553,175,951,430,4993,19,294,2,149,75,568,3,5,482,2881,2751,138,90,365,837,1191,1727,12,2,72,85,37,5,136,62,43,15,194,30,76,9,1840,3440,6580,15,233,84,0,23,16,1,26,48,10,251,3883,2020,13
14,0,0,6,0,14,0,1392,0,0,20,80,753,328,84,0,3,0,0,2,0,0,13,1,8,49,126,465,72,169,299,53,428,252,0,240,150,721,177,41,1,263,1025,767,80,0,81,82,84,98,87,0,219,71,19,18,113,735,4,2,1,21,23,172,0,1,165,656,561,1,20,4,184,200,166,1,0,2,25,4,0,42,12,9,1,22,4,7,0,151,355,1374,3,23,15,0,4,4,0,1,3,0,15,640,2020,14
15,0,0,1,0,0,0,145,0,0,4,2,72,26,7,0,0,0,0,0,0,1,1,0,1,3,6,23,4,19,15,2,12,48,0,26,4,61,17,1,1,34,80,116,6,0,8,1,7,11,8,0,18,3,1,4,9,55,0,1,0,2,0,8,0,0,26,72,42,1,0,1,18,16,17,0,0,1,4,0,0,2,0,1,0,5,0,0,0,21,34,172,1,0,0,0,0,0,0,0,0,0,1,56,2020,15
16,0,0,1,0,3,1,778,0,1,10,29,346,118,32,0,0,0,0,2,2,0,7,2,0,22,82,362,17,119,85,14,68,140,0,128,88,448,85,22,1,120,355,499,36,0,39,26,39,45,26,0,96,52,5,55,120,403,0,0,0,6,11,51,0,1,92,410,257,3,1,8,90,96,81,0,0,9,4,2,0,1,2,0,0,5,6,5,0,97,140,590,4,4,0,0,1,1,0,0,1,0,5,224,2020,16
17,0,0,3,0,14,0,1275,3,0,15,32,467,152,66,0,3,0,1,3,1,10,5,9,8,44,86,585,80,299,156,32,249,191,0,245,200,708,173,30,1,261,739,999,80,1,52,48,54,66,66,0,162,62,30,28,118,631,0,4,1,26,17,84,0,1,155,657,510,3,0,12,128,121,135,1,0,8,1,1,0,5,3,1,0,27,9,42,1,369,304,776,2,12,3,0,3,2,0,0,4,1,6,391,2020,17
18,0,0,1,0,3,2,535,0,0,5,30,174,97,22,0,1,0,0,0,1,0,2,1,4,15,63,297,37,186,131,11,101,124,0,117,44,236,85,18,1,111,247,253,39,0,25,15,24,34,14,0,76,29,2,5,34,202,0,1,0,6,17,91,0,1,85,299,93,5,1,3,50,57,110,4,0,3,8,2,0,2,2,2,1,14,3,0,0,61,125,558,2,4,1,0,2,0,0,1,0,0,5,225,2020,18
19,0,0,1,0,2,0,409,0,0,3,11,203,74,15,0,0,0,2,1,1,0,4,0,0,18,20,95,10,83,47,16,34,84,0,40,37,185,63,10,1,58,192,181,30,1,21,14,19,25,30,0,72,27,7,4,30,306,0,1,0,8,2,38,0,0,59,135,89,1,1,2,70,81,69,1,0,2,11,0,0,2,1,1,1,4,3,0,0,202,56,335,1,0,0,0,0,1,1,2,2,0,2,204,2020,19
21,1,0,6,0,26,1,1086,0,1,12,55,406,157,50,0,5,0,2,1,2,0,7,5,7,51,127,497,19,231,299,22,339,149,0,222,104,650,158,18,3,200,804,853,117,0,58,45,46,53,59,1,161,58,14,64,109,468,3,0,1,25,80,280,1,0,147,604,353,2,15,3,139,139,150,2,0,3,5,5,0,37,13,13,4,37,6,1,4,84,377,1263,5,23,11,0,12,4,0,4,3,10,39,482,2020,21
22,0,0,0,0,5,0,505,0,0,7,13,207,84,19,0,3,0,1,2,3,3,1,1,2,19,50,300,14,98,60,10,202,168,1,66,62,223,127,20,1,70,294,272,45,0,25,16,26,26,22,0,63,27,12,7,55,323,2,0,0,6,7,24,0,1,55,210,163,2,0,17,84,74,62,1,0,5,4,6,3,3,5,0,1,6,8,0,0,64,89,501,0,9,1,0,4,1,0,3,3,0,7,178,2020,22
23,0,0,0,0,1,0,106,0,0,1,6,65,19,4,0,0,0,0,0,0,0,0,0,0,0,4,21,0,22,9,1,1,11,0,10,6,25,20,0,0,9,37,37,7,0,6,1,11,9,7,0,11,1,0,2,35,68,1,0,0,1,4,5,0,0,14,26,12,2,1,0,18,12,8,1,0,1,2,0,0,2,5,0,1,2,2,0,0,19,3,78,0,0,0,0,0,0,0,1,0,0,0,37,2020,23
24,0,0,1,0,0,1,671,0,0,6,12,220,98,28,0,4,0,0,0,1,0,0,2,7,22,35,256,23,113,52,12,101,151,0,62,83,299,133,12,0,70,248,240,37,0,21,17,28,40,27,0,71,36,12,9,34,283,3,1,0,20,12,32,1,0,72,269,356,0,1,2,47,52,68,0,0,1,8,5,1,3,3,1,0,20,9,0,0,71,75,483,0,7,0,0,1,1,0,1,0,0,3,165,2020,24
25,2,0,1,0,31,0,1705,0,0,27,102,785,252,57,0,11,0,0,7,6,3,31,10,9,55,118,362,27,346,340,13,247,257,0,162,82,921,176,35,0,178,874,759,71,2,55,38,73,58,38,0,243,110,9,60,192,599,3,1,0,29,76,268,0,1,144,338,262,0,31,6,152,203,196,4,0,29,12,2,0,98,14,12,0,26,24,1,1,150,249,1105,26,24,20,1,1,1,1,3,2,1,40,471,2020,25
26,1,0,2,0,18,1,1174,0,0,26,44,525,164,56,0,4,0,2,9,3,2,8,3,3,55,98,729,10,188,381,23,212,213,0,369,179,779,291,35,4,169,857,885,101,1,35,32,25,48,44,0,195,64,20,33,70,456,3,14,0,23,29,175,3,3,174,603,266,9,0,10,130,200,169,2,0,9,18,2,0,5,4,8,3,23,4,1,1,41,304,1084,1,10,2,0,4,1,0,1,3,2,22,368,2020,26
27,0,0,1,1,4,2,804,0,0,12,48,289,142,26,0,2,0,1,3,1,3,12,5,6,45,79,308,14,152,106,15,124,145,2,247,70,470,213,34,1,103,420,417,53,0,42,28,29,51,29,1,149,47,21,19,45,443,2,0,0,22,22,73,0,0,59,209,100,1,3,2,110,119,72,4,0,4,5,1,0,3,3,4,0,15,5,0,0,60,158,836,3,2,0,0,1,0,0,1,2,0,2,365,2020,27
28,0,0,3,0,9,0,646,1,1,18,33,370,185,33,1,2,0,0,1,1,0,5,1,4,24,46,186,6,94,65,7,116,124,0,99,36,265,127,25,0,110,360,341,82,3,40,28,38,59,37,0,221,60,22,83,69,472,1,2,0,50,25,84,0,0,182,340,79,2,2,2,100,115,79,0,0,7,6,2,0,5,3,2,4,27,9,0,0,54,127,698,1,13,5,0,2,3,0,0,3,1,13,278,2020,28
29,0,0,1,0,6,1,1426,0,0,20,56,493,250,63,1,6,0,0,1,2,4,10,4,8,68,191,369,30,217,156,10,340,278,0,178,175,883,213,31,1,253,911,948,112,0,80,46,69,72,82,1,232,66,23,37,131,711,7,4,0,20,29,224,1,0,180,918,662,6,2,71,178,164,151,3,0,45,10,3,0,11,9,3,0,30,7,1,0,299,352,1113,6,33,1,0,6,7,0,6,3,0,3,487,2020,29
2A,5,0,2,0,4,0,327,0,1,7,19,152,50,14,0,3,0,1,3,0,0,0,0,2,6,5,45,7,61,39,11,19,25,0,49,85,56,38,5,0,17,150,162,37,0,7,10,13,15,9,0,42,18,4,5,19,184,1,0,0,5,12,51,0,1,18,140,306,0,10,0,27,29,72,1,1,2,7,0,2,4,0,3,5,7,0,1,0,34,18,320,2,17,14,1,9,1,0,4,4,8,10,143,2020,2A
2B,0,0,0,0,0,0,227,0,0,3,13,113,57,14,0,0,0,0,1,0,0,1,0,1,9,15,34,8,29,25,4,17,15,0,63,46,71,67,6,1,19,141,149,6,0,8,21,8,22,13,0,39,7,5,1,18,85,0,4,1,1,17,60,0,1,28,109,50,0,30,1,18,15,16,0,0,0,5,4,0,6,1,13,2,19,0,0,0,15,12,206,1,21,33,0,3,0,0,3,3,0,1,144,2020,2B
30,2,0,1,0,28,0,1341,0,1,24,67,750,254,96,0,4,0,1,4,3,3,13,1,12,161,171,874,49,297,450,39,154,230,0,539,167,975,413,35,1,260,946,1469,125,2,44,36,41,57,76,0,217,128,42,66,119,548,4,17,1,27,24,205,0,0,215,588,469,10,40,18,217,233,184,3,0,6,14,4,0,36,10,22,6,37,7,4,0,363,387,1078,3,35,25,1,2,1,0,0,4,2,11,502,2020,30
31,9,1,14,1,90,0,3598,0,3,52,211,1586,551,296,2,3,0,4,15,3,17,84,18,15,442,616,3717,205,724,868,112,3497,360,0,705,772,6091,1108,76,3,451,2715,4351,512,8,165,99,187,128,129,0,538,248,54,145,773,1245,16,91,1,63,49,445,0,1,368,1958,815,15,86,112,325,428,527,2,0,10,36,7,0,128,55,67,14,77,17,4,0,316,1686,2973,9,76,49,0,14,115,1,10,13,11,68,1793,2020,31
32,0,0,0,0,1,0,99,0,0,1,3,50,12,3,0,1,0,0,0,0,0,1,1,0,1,6,83,5,32,6,1,32,34,0,22,10,129,23,4,1,13,68,126,6,0,2,2,11,6,3,0,19,7,1,2,9,93,0,0,0,4,4,12,0,0,9,16,13,1,0,1,10,20,26,0,0,1,0,1,0,0,5,0,0,2,1,1,0,11,31,116,5,0,0,0,0,1,0,1,0,1,2,50,2020,32
33,0,0,5,1,44,3,3459,0,3,48,200,1362,525,388,1,13,0,8,16,5,15,107,12,26,489,998,4549,289,2145,558,84,2933,1037,0,1103,1155,6549,1091,220,1,850,3437,4677,740,19,225,118,240,171,122,0,434,358,76,77,243,1096,21,13,3,26,37,336,1,5,422,3328,1344,15,44,95,300,436,407,5,0,8,20,9,0,97,13,44,7,107,26,6,0,197,1500,2884,19,71,51,0,29,39,0,11,79,17,72,1709,2020,33
34,1,0,13,0,33,0,3386,2,1,57,166,1383,462,225,2,12,0,10,15,13,9,108,12,24,358,613,2230,174,689,797,37,1891,317,1,925,631,2692,664,81,2,369,2636,3225,478,0,145,70,120,106,131,0,365,126,50,51,219,1195,7,33,0,99,34,239,0,8,222,1818,1022,32,58,81,292,355,460,8,0,16,35,3,3,66,10,20,8,51,12,9,5,270,1275,2268,10,88,53,1,18,10,0,9,39,21,71,1339,2020,34
35,1,1,4,1,29,1,1901,0,2,23,96,717,257,81,1,9,0,4,5,4,5,43,4,13,115,358,623,42,383,355,47,1100,189,0,265,322,1191,326,39,0,231,1298,1744,187,4,91,77,106,105,87,0,285,130,12,128,263,1090,14,3,0,48,44,146,1,1,216,1246,541,3,19,49,227,239,226,3,0,27,11,3,0,94,66,15,1,22,24,1,0,137,617,1211,2,22,17,1,22,1,1,3,5,13,32,707,2020,35
36,0,0,1,0,1,0,297,0,0,8,14,145,61,11,0,1,0,0,0,0,0,1,1,2,11,18,113,20,59,41,1,48,35,0,54,48,153,61,6,0,58,157,159,60,0,11,10,11,10,5,0,47,4,3,3,19,151,0,1,0,5,1,21,0,0,32,48,43,0,0,1,42,46,19,0,0,0,2,2,0,2,5,2,0,4,0,0,0,47,58,236,1,3,0,0,0,1,0,0,0,0,0,107,2020,36
37,0,0,1,3,3,1,1043,0,0,13,46,347,167,72,0,3,0,1,5,5,2,29,5,8,97,207,726,24,326,249,34,435,186,0,231,157,1367,423,10,1,153,611,1330,109,1,86,31,57,39,51,0,201,49,8,44,59,408,0,0,0,20,42,192,1,0,87,414,393,1,2,2,95,126,107,1,0,6,7,4,0,11,8,5,1,20,9,2,5,378,479,1188,1,14,0,0,4,3,0,1,3,3,9,393,2020,37
38,0,0,12,0,16,2,2007,0,0,34,134,1051,518,57,0,1,0,2,10,5,2,87,5,6,459,430,1445,40,386,1181,49,1650,284,1,591,307,3063,607,35,1,207,1477,1975,270,5,123,49,89,75,94,0,381,222,53,88,115,898,6,10,0,88,51,596,0,2,232,1409,820,31,12,11,301,320,381,2,0,9,10,5,0,40,15,18,5,22,13,3,0,276,855,1571,7,38,9,1,4,4,0,8,4,4,61,696,2020,38
39,0,0,0,0,0,0,243,0,0,3,12,163,69,10,0,0,0,0,0,0,0,1,0,0,8,17,93,2,54,31,13,41,75,0,35,22,102,39,5,0,48,176,140,16,0,14,14,18,10,16,0,44,12,5,8,72,181,2,1,0,4,9,16,0,0,37,72,41,0,0,2,37,44,56,0,0,4,1,1,0,1,0,1,0,7,3,1,0,23,67,252,0,0,0,0,0,0,0,0,0,0,1,96,2020,39
40,0,0,2,0,2,0,415,0,0,5,13,223,95,24,0,1,0,0,1,1,0,2,0,3,8,20,250,16,88,42,7,80,127,0,52,54,149,64,14,1,97,329,298,94,1,18,15,19,25,9,1,58,40,19,4,15,196,0,1,0,2,26,30,0,0,86,279,114,5,0,3,64,59,38,1,0,2,7,2,1,1,1,5,1,2,7,0,0,97,70,419,2,2,0,0,0,0,0,1,3,0,1,152,2020,40
41,0,0,0,0,1,2,450,0,0,4,26,162,106,19,0,0,0,0,3,0,2,5,1,5,23,42,133,21,72,70,20,62,117,0,91,46,199,113,7,3,83,250,225,46,1,21,23,14,18,21,0,78,25,5,6,53,284,0,0,0,11,14,50,0,0,38,177,105,0,0,1,80,61,65,0,0,0,4,3,0,0,4,5,2,9,5,6,0,42,89,426,0,4,0,0,0,2,0,1,3,1,2,210,2020,41
42,2,0,6,0,20,3,1791,2,3,32,115,947,296,88,1,15,0,4,4,11,2,20,13,9,204,234,1050,31,534,591,61,1049,506,0,721,206,1417,738,60,10,357,1112,1303,178,1,77,54,74,80,83,1,317,60,41,66,80,1111,3,17,1,32,68,698,0,1,293,1430,684,5,4,12,304,303,180,1,0,4,16,9,0,10,12,13,4,50,20,0,0,155,535,1977,6,21,4,0,8,7,0,6,6,1,28,738,2020,42
43,0,0,0,0,0,0,169,0,0,3,11,93,44,17,0,0,0,0,1,1,1,1,0,7,4,10,71,15,42,39,2,38,75,0,20,32,117,28,2,0,36,161,132,10,0,6,6,9,9,8,0,48,12,1,2,11,176,0,0,0,5,4,18,0,0,25,110,54,0,0,5,31,30,36,1,0,0,1,1,0,3,1,1,1,2,1,0,1,17,36,195,0,1,0,0,0,0,0,2,1,0,2,66,2020,43
44,0,0,8,0,22,2,2812,0,0,52,162,1126,350,179,1,14,0,3,19,4,14,106,9,26,289,755,3573,192,1332,971,109,2204,589,0,901,1132,5258,1226,149,1,522,2641,2989,503,4,142,115,218,172,149,0,419,172,36,107,224,1132,6,2,0,57,79,374,0,0,339,1560,1130,72,23,129,335,443,424,3,0,42,11,5,0,50,80,20,2,49,28,0,0,237,1176,2143,5,43,23,0,6,6,1,2,3,3,37,1250,2020,44
45,1,0,5,0,15,2,1777,0,2,34,126,927,360,67,1,9,0,4,7,2,0,14,0,13,89,159,746,45,325,180,29,378,147,2,270,100,855,381,23,0,308,755,891,137,6,117,73,96,109,87,0,459,142,26,54,155,997,5,5,2,33,36,154,0,0,190,412,183,0,55,16,222,237,184,5,1,13,15,1,0,30,137,12,2,35,10,9,0,337,408,1529,2,40,30,0,9,1,0,11,6,13,25,703,2020,45
46,0,0,0,0,0,0,124,0,0,0,4,52,19,3,0,0,0,0,0,0,0,0,0,0,4,8,40,7,52,9,2,26,20,0,31,13,54,48,4,0,15,64,73,9,0,5,3,5,12,6,0,18,6,4,1,4,95,0,0,0,4,6,5,0,0,20,50,70,4,0,0,10,18,14,0,0,0,2,0,0,1,3,1,0,8,2,0,0,35,34,179,1,1,0,0,0,0,0,0,1,0,0,66,2020,46
47,1,0,1,0,5,0,488,0,2,7,17,264,78,18,0,0,0,0,0,0,1,2,1,5,8,36,172,15,80,43,5,108,97,0,71,41,175,55,13,0,44,229,304,40,0,23,27,23,26,31,0,102,40,14,5,18,185,0,1,1,22,5,22,0,0,37,137,107,31,0,1,78,75,36,0,0,2,6,2,0,1,1,2,1,6,5,0,0,27,80,464,3,4,0,0,2,1,0,0,4,0,1,168,2020,47
